Gen	t_n15	t_n16	t_n17	t_n18	t_n19	t_n20	t_n21	t_n22	t_n23	t_n24	t_n25	t_n26	t_n27	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
33750	1.6036381	0.9034042	0.8111622	0.5977104	0.4749753	0.3165817	0.8233881	0.3704974	0.2333325	0.2084230	0.0792136	0.0713924	0.2276056	0.0309122	0.0165337	0.1351629	0.2544243	0.2784597	0.2900291	-155957.743
33760	1.6145158	0.9003407	0.7954672	0.6131621	0.4743786	0.3154280	0.8751207	0.3882573	0.2303426	0.1925723	0.0765854	0.0722504	0.2242709	0.0286880	0.0152865	0.1141542	0.1969768	0.1881816	0.2539689	-155948.043
33770	1.5982519	0.8983963	0.7918819	0.6473968	0.4990008	0.3094605	0.8584787	0.4004177	0.2160434	0.1945803	0.0791515	0.0748819	0.2041515	0.0309543	0.0190278	0.1182156	0.2304106	0.4253788	0.2292307	-155963.581
33780	1.5984130	0.8807804	0.8090381	0.6946061	0.5127572	0.3388460	0.8492608	0.3983011	0.2327513	0.2001843	0.0791515	0.0723292	0.2244759	0.0302677	0.0192675	0.1571830	0.3159985	0.2098451	0.3275303	-155952.902
33790	1.5971037	0.8807804	0.8298329	0.6521727	0.5270582	0.3407388	0.8143577	0.4057126	0.2513561	0.2222834	0.0778447	0.0665849	0.2319467	0.0294046	0.0146903	0.1251303	0.2184198	0.2467763	0.6073499	-155958.104
33800	1.6214177	0.8807804	0.8298329	0.7099711	0.5778026	0.3266781	0.8451833	0.3929831	0.2511146	0.2240572	0.0761299	0.0683826	0.2438811	0.0254883	0.0152000	0.1226128	0.2141095	0.2276218	0.4316194	-155957.407
33810	1.6186446	0.8870313	0.8224870	0.7711332	0.6026009	0.3468571	0.8263242	0.3634096	0.2467436	0.2224782	0.0799799	0.0689077	0.2395272	0.0284354	0.0203241	0.1468042	0.1653588	0.2998517	0.5278239	-155958.565
33820	1.6420909	0.8978082	0.7879538	0.7444765	0.6575183	0.3430611	0.8346857	0.3795559	0.2412677	0.2168775	0.0810518	0.0667789	0.2384218	0.0308622	0.0172491	0.1048124	0.2327098	0.1526957	0.2672249	-155959.990
33830	1.6299397	0.9069625	0.8064118	0.7211433	0.6296172	0.4180160	0.8653210	0.4000954	0.2516120	0.2012195	0.0652415	0.0595249	0.2446985	0.0258916	0.0151434	0.1027894	0.3685430	0.2923700	0.3731545	-155954.609
33840	1.6296899	0.8929250	0.7929483	0.7218341	0.5983336	0.3849397	0.8650670	0.3892974	0.2423429	0.2121422	0.0755027	0.0610043	0.2360006	0.0240592	0.0166374	0.1242650	0.2025714	0.1597861	0.2162668	-155963.466
33850	1.6488911	0.8709360	0.7576926	0.7245500	0.6296124	0.3635586	0.8521675	0.3910844	0.2423429	0.2217839	0.0838879	0.0653568	0.2326661	0.0263737	0.0164093	0.1177969	0.2074666	0.3616362	0.2464018	-155969.417
33860	1.6871322	0.8782422	0.7897475	0.7501764	0.6713431	0.4122658	0.9109879	0.3989055	0.2427425	0.2143488	0.0861290	0.0726212	0.2320396	0.0263737	0.0186991	0.1177969	0.2074666	0.2459153	0.2316403	-155962.005
33870	1.6482260	0.8943177	0.8168160	0.7762698	0.6846965	0.3902598	0.9117292	0.3905630	0.2338935	0.2067327	0.1027846	0.0809420	0.2304664	0.0263737	0.0153515	0.1082322	0.1697893	0.1627795	0.2316403	-155954.222
33880	1.6707665	0.9153853	0.8232737	0.7639115	0.6811676	0.3441050	0.8693020	0.3748822	0.2258309	0.2088437	0.0969822	0.0864708	0.2168228	0.0229676	0.0202481	0.1305082	0.3167635	0.2604259	0.2307112	-155954.353
33890	1.6750204	0.9302573	0.8405876	0.7910021	0.6825579	0.3349413	0.8864184	0.3957847	0.2410331	0.2059295	0.0939618	0.0845978	0.2319785	0.0246015	0.0146029	0.1534719	0.3167635	0.2616356	0.4765111	-155949.772
33900	1.6789823	0.9394896	0.8335910	0.7989986	0.6843685	0.3224567	0.8764392	0.3977200	0.2395062	0.2201202	0.0995796	0.0905678	0.2324340	0.0235610	0.0146029	0.1368585	0.3153691	0.2157521	0.4990074	-155966.344
33910	1.6780141	0.9306447	0.8139580	0.7989986	0.7090196	0.3201769	0.9007441	0.4008099	0.2373974	0.2186566	0.1021960	0.0952021	0.2233069	0.0235610	0.0191086	0.1279903	0.2428406	0.4409907	0.2642673	-155950.933
33920	1.6732995	0.9169645	0.7951937	0.7709754	0.6688109	0.3528635	0.9064702	0.4047714	0.2373974	0.2189543	0.0974959	0.0919513	0.2227961	0.0235610	0.0151455	0.1009169	0.1340422	0.1147112	0.4845117	-155946.040
33930	1.6613463	0.9116419	0.8068094	0.7778422	0.6708234	0.3892550	0.8828320	0.4027703	0.2546013	0.2317993	0.0892355	0.0760224	0.2208623	0.0235610	0.0180911	0.1105979	0.2247581	0.1322989	0.2849283	-155974.251
33940	1.6269776	0.9177416	0.7911812	0.7810829	0.6676145	0.4215418	0.8891886	0.3934546	0.2473702	0.2132019	0.0850336	0.0785797	0.2354552	0.0262686	0.0180911	0.1164218	0.2247581	0.2304019	0.2570851	-155963.450
33950	1.6267637	0.9336721	0.8285988	0.7810829	0.6956938	0.4040069	0.9157631	0.3860390	0.2425932	0.2164939	0.0846149	0.0776801	0.2354552	0.0243163	0.0174728	0.1143040	0.1658999	0.2417487	0.2818880	-155952.856
33960	1.6619685	0.9013661	0.7799977	0.7810829	0.6806464	0.3765261	1.0076870	0.3955257	0.2379397	0.2147055	0.0941107	0.0846964	0.2286743	0.0259660	0.0174920	0.1082020	0.3292409	0.1789179	0.2306607	-155954.640
33970	1.7333801	0.9094984	0.7629751	0.8186511	0.7124568	0.3517022	1.0046849	0.3736257	0.2400396	0.2140866	0.0931640	0.0839340	0.2359681	0.0259660	0.0188699	0.1082020	0.3533783	0.2118267	0.2306607	-155952.204
33980	1.7360007	0.9269361	0.7785818	0.8186511	0.7304915	0.3531701	1.0320766	0.3470569	0.2366287	0.2106038	0.0962952	0.0858728	0.2261950	0.0257697	0.0174727	0.0929307	0.1874346	0.1807576	0.1772525	-155967.627
33990	1.6982214	0.9012285	0.7819015	0.7940269	0.7052470	0.3536712	0.9546860	0.3684436	0.2312416	0.2097642	0.0872565	0.0786980	0.2261950	0.0258098	0.0163676	0.1148354	0.2250986	0.0974293	0.3339688	-155961.712
34000	1.6822791	0.8853726	0.7817209	0.8193648	0.6861244	0.3382682	0.9424841	0.3602939	0.2326951	0.2121451	0.0890809	0.0783414	0.2256292	0.0258098	0.0164920	0.1005707	0.1523340	0.1928663	0.2758223	-155960.304
34010	1.6906851	0.8974600	0.7542721	0.7937079	0.6861244	0.3969940	0.9665081	0.3643824	0.2269349	0.1991907	0.0894729	0.0858754	0.2062541	0.0258098	0.0164920	0.1158346	0.2624519	0.1259847	0.2156747	-155960.754
34020	1.6420005	0.8944973	0.7252006	0.8159680	0.6978603	0.4260432	0.9549540	0.3473777	0.2211842	0.1966409	0.0926953	0.0842243	0.2091720	0.0258098	0.0152119	0.1297563	0.2547345	0.1637020	0.4295224	-155956.509
34030	1.6320907	0.9352135	0.7386952	0.8159680	0.7374225	0.4148390	0.9640484	0.3459384	0.2116684	0.1871214	0.0955006	0.0891628	0.2066214	0.0238570	0.0173967	0.1453622	0.3085994	0.2005538	0.2830080	-155947.868
34040	1.6247017	0.9230850	0.7965403	0.7899778	0.6964576	0.3875834	0.9626106	0.3411661	0.2149483	0.1917732	0.0948037	0.0885968	0.2016590	0.0238570	0.0173967	0.1214859	0.3414990	0.1355605	0.4601589	-155951.245
34050	1.6494292	0.9043704	0.8021368	0.8067124	0.6859224	0.3589279	0.9694587	0.3210103	0.2111675	0.1832280	0.0976710	0.0839340	0.2009784	0.0261155	0.0173967	0.1059825	0.2305804	0.1682637	0.4897400	-155963.762
34060	1.6563243	0.9112451	0.8260766	0.7857465	0.6646683	0.3928175	0.9839535	0.3285625	0.2078328	0.1940086	0.0953151	0.0849504	0.1951553	0.0260988	0.0173967	0.1179031	0.2257302	0.1678413	0.2466594	-155955.548
34070	1.6519056	0.8834962	0.7995740	0.7868502	0.6885438	0.3770571	0.9902460	0.3348516	0.2100113	0.1914955	0.0762480	0.0703032	0.2034331	0.0256023	0.0148617	0.1515055	0.1445522	0.1812719	0.2625804	-155955.925
34080	1.7203964	0.8775392	0.8202898	0.7917237	0.6717328	0.3654455	1.0400665	0.3492346	0.2042403	0.1825427	0.0727045	0.0651120	0.1959187	0.0252289	0.0186139	0.1069717	0.1208320	0.1532164	0.3621454	-155963.644
34090	1.6770722	0.9056927	0.8302907	0.8189939	0.6902714	0.3308773	1.0623112	0.3667608	0.1959799	0.1800300	0.0767433	0.0734494	0.1884447	0.0264157	0.0186139	0.1192663	0.2394694	0.2889295	0.4805639	-155958.626
34100	1.7125095	0.9018732	0.8425893	0.7704514	0.6469231	0.3098206	1.0941310	0.3790075	0.2121117	0.1808294	0.0779230	0.0695387	0.2013174	0.0277504	0.0175630	0.1341380	0.1838091	0.1800924	0.2443562	-155949.322
34110	1.6819881	0.9016381	0.8360537	0.7297007	0.6230689	0.3300946	1.0820479	0.3852184	0.2106139	0.1775886	0.0750299	0.0698211	0.2013174	0.0371813	0.0151638	0.1130721	0.2909637	0.1481380	0.2330178	-155955.277
34120	1.7060110	0.9140720	0.8373163	0.7220569	0.6492036	0.3366456	1.0894748	0.4160237	0.2106139	0.1832858	0.0741799	0.0693040	0.2024887	0.0258706	0.0179676	0.1554374	0.3332487	0.2318837	0.5423846	-155954.624
34130	1.7207008	0.9257107	0.8525776	0.7500776	0.6247387	0.3353189	1.0470442	0.3762376	0.2059416	0.1924391	0.0749027	0.0655574	0.1973707	0.0301297	0.0179676	0.1086312	0.3244587	0.2267399	0.2672918	-155956.167
34140	1.6673773	0.9201107	0.8501411	0.7848024	0.6297081	0.3486509	1.0310877	0.3990785	0.2057961	0.1783603	0.0709407	0.0646463	0.2009659	0.0245329	0.0179676	0.1177522	0.1934895	0.3102339	0.2551160	-155971.689
34150	1.6380774	0.9048071	0.8116159	0.8311493	0.6247503	0.3694712	1.0192816	0.3894268	0.2027068	0.1757010	0.0808242	0.0681991	0.1981101	0.0245329	0.0183218	0.1194977	0.2850083	0.1927236	0.2480355	-155958.790
34160	1.6727379	0.9096749	0.7795203	0.8362446	0.5861768	0.4056613	1.0487276	0.3723718	0.2003072	0.1809901	0.0766902	0.0709709	0.1945697	0.0271325	0.0201127	0.1264715	0.2850083	0.2370319	0.3268661	-155956.154
34170	1.6876683	0.9151445	0.7601082	0.8194061	0.5781497	0.3854112	1.0193046	0.3869399	0.2072820	0.1912354	0.0901686	0.0704780	0.2003947	0.0235693	0.0171173	0.1177768	0.2614479	0.2128914	0.3239548	-155960.830
34180	1.6951807	0.9567176	0.8124165	0.8026909	0.5628574	0.3485784	1.0480211	0.3971745	0.2115765	0.1884100	0.0857650	0.0749455	0.2082549	0.0252465	0.0177646	0.1177768	0.1702566	0.3284200	0.2238987	-155971.636
34190	1.6945529	0.9377773	0.7745743	0.8039084	0.5724503	0.3774205	1.0492266	0.3961994	0.2088681	0.1878238	0.0876058	0.0827489	0.1923714	0.0252465	0.0154533	0.1556870	0.2748804	0.1018936	0.3520733	-155951.243
34200	1.6943310	0.8995436	0.7601168	0.7907969	0.5606947	0.3765191	1.0704809	0.3927044	0.2100341	0.1774177	0.0903807	0.0805409	0.2024334	0.0294688	0.0163784	0.1231804	0.2620571	0.2028551	0.2190226	-155959.835
34210	1.6987112	0.9159217	0.7607576	0.7529374	0.5355654	0.3697553	1.0413038	0.3926354	0.2097027	0.1901279	0.0880272	0.0787455	0.2071027	0.0294688	0.0163784	0.1209144	0.2620571	0.3146668	0.2372679	-155958.249
34220	1.6704958	0.9011461	0.7610656	0.7345780	0.5297964	0.3837811	1.0671504	0.4032683	0.2049616	0.1753612	0.0880272	0.0787455	0.1934768	0.0233538	0.0163784	0.1209144	0.2499346	0.2622012	0.1839510	-155966.018
34230	1.6884773	0.9039131	0.7739856	0.7327596	0.5733377	0.4016832	1.0352949	0.3889485	0.2036103	0.1785179	0.0941986	0.0845775	0.1969275	0.0201983	0.0180214	0.1085653	0.1690083	0.2318928	0.1897633	-155953.774
34240	1.6932762	0.8971198	0.7598821	0.7116107	0.5687018	0.4080305	1.0872454	0.3908965	0.2064240	0.1669215	0.0857560	0.0768351	0.1965659	0.0258750	0.0180214	0.1361491	0.2280608	0.2925677	0.3181197	-155954.233
34250	1.6983015	0.8611269	0.7351185	0.7094712	0.5618654	0.4262846	1.0708979	0.3692905	0.2076186	0.1726191	0.0841173	0.0748589	0.2016835	0.0274009	0.0135670	0.1333197	0.1675005	0.1999150	0.2696073	-155964.949
34260	1.7236537	0.8559042	0.7136437	0.7376076	0.5963276	0.4599606	1.1227631	0.3709868	0.2047843	0.1891121	0.0871310	0.0726030	0.1981463	0.0274009	0.0143189	0.1056437	0.1675005	0.1730375	0.2620624	-155963.762
34270	1.6976284	0.8485041	0.7048815	0.7702742	0.5790045	0.4528624	1.1419919	0.3915613	0.2119013	0.1951037	0.0907373	0.0780882	0.1989736	0.0274009	0.0183416	0.1201923	0.1352578	0.2831569	0.2578849	-155958.959
34280	1.7112432	0.8719802	0.7102982	0.7434394	0.6021108	0.4466919	1.2387328	0.3969710	0.2228735	0.1914122	0.0921784	0.0805986	0.2130573	0.0274009	0.0189652	0.1089478	0.2293667	0.3602816	0.1985466	-155944.469
34290	1.7088653	0.8803674	0.7010786	0.7733539	0.6194943	0.4985461	1.2243963	0.3967263	0.2172656	0.1843140	0.0865621	0.0747505	0.2045269	0.0274009	0.0156194	0.0966785	0.1600495	0.1652587	0.1357924	-155954.840
34300	1.7084267	0.8658633	0.7053951	0.7631430	0.5946499	0.4778488	1.1960405	0.3770467	0.2146810	0.2016631	0.0794189	0.0714204	0.2041994	0.0274009	0.0152930	0.1124739	0.1908853	0.2067135	0.1939381	-155955.402
34310	1.6884321	0.8620441	0.7124350	0.7701444	0.5852110	0.4633111	1.1532306	0.3550905	0.2102851	0.1961975	0.0790027	0.0717097	0.2056606	0.0274009	0.0152930	0.1275325	0.1324930	0.2250391	0.1824589	-155959.029
34320	1.6777120	0.8774163	0.7188381	0.8011973	0.5852110	0.4720820	1.1798915	0.3536255	0.2105188	0.1910852	0.0807571	0.0725256	0.2068630	0.0256904	0.0237805	0.1275325	0.2065846	0.4022133	0.2137182	-155962.265
34330	1.6660421	0.8890849	0.7006354	0.7755847	0.5852110	0.4720820	1.1273448	0.3838645	0.2158559	0.1996147	0.0797080	0.0703076	0.2038593	0.0270998	0.0185724	0.1425474	0.2762559	0.3768010	0.3876243	-155965.663
34340	1.6653768	0.9002886	0.7089411	0.7553484	0.6026892	0.4740949	1.1553714	0.3903843	0.2139684	0.2068968	0.0858591	0.0661508	0.2078307	0.0312907	0.0185724	0.1168466	0.3514994	0.2225448	0.2128352	-155946.220
34350	1.6752627	0.8886778	0.7329486	0.7402015	0.5466616	0.4297730	1.1383806	0.3806346	0.2139684	0.1950781	0.0921926	0.0740774	0.2078307	0.0260468	0.0179473	0.1168466	0.2806836	0.1883680	0.4641360	-155951.026
34360	1.6937334	0.8812256	0.7722999	0.7587801	0.5599698	0.4444569	1.1436530	0.3885994	0.2246575	0.1982765	0.0807373	0.0758797	0.2157844	0.0260468	0.0157106	0.1163441	0.1953856	0.2400058	0.3032017	-155976.101
34370	1.6610522	0.8752874	0.7602344	0.7211819	0.5529256	0.4471773	1.0861160	0.3889651	0.2284482	0.2064082	0.0854296	0.0758797	0.2231820	0.0293828	0.0157106	0.1163441	0.4664077	0.2736273	0.1576822	-155953.872
34380	1.6168778	0.8773354	0.7604631	0.7045216	0.5492493	0.4516048	1.0806678	0.3917037	0.2284482	0.2070673	0.0725129	0.0675177	0.2230070	0.0302665	0.0157106	0.1167980	0.2202171	0.2309710	0.2898326	-155951.330
34390	1.6314775	0.8792570	0.7850674	0.7084511	0.5492493	0.4466392	1.0506465	0.4020174	0.2300619	0.2075888	0.0762946	0.0675100	0.2194257	0.0268640	0.0191724	0.1268383	0.1603073	0.1952118	0.2219709	-155958.422
34400	1.6020581	0.8575527	0.7348480	0.7302584	0.5833244	0.4240921	1.0197359	0.3994395	0.2300619	0.2053170	0.0738276	0.0656539	0.2252240	0.0310439	0.0165775	0.1343166	0.2506964	0.1825472	0.2884986	-155955.931
34410	1.5766681	0.8636263	0.7616344	0.7144976	0.6252231	0.4192887	1.0412479	0.3871994	0.2412745	0.2027465	0.0801432	0.0690297	0.2324798	0.0270143	0.0163033	0.1184292	0.2506964	0.1280035	0.1782568	-155952.539
34420	1.6150753	0.8725843	0.7758830	0.7141838	0.6157932	0.3790936	1.0790601	0.3890834	0.2365253	0.2020240	0.0808387	0.0759851	0.2261118	0.0270143	0.0163033	0.1371490	0.1825820	0.2158087	0.2351056	-155955.789
34430	1.6332577	0.8758672	0.7745577	0.6998360	0.6278062	0.3735190	1.0797523	0.3859489	0.2306031	0.2019976	0.0783183	0.0681216	0.2263493	0.0308691	0.0159450	0.1266609	0.1848571	0.1860267	0.2351056	-155955.823
34440	1.6391801	0.8843015	0.7269409	0.6998360	0.6439669	0.3597475	1.0830910	0.3682788	0.2299488	0.2072499	0.0862451	0.0742724	0.2251144	0.0263807	0.0165672	0.1325432	0.1495731	0.1280192	0.2507300	-155958.649
34450	1.6298461	0.8768700	0.7242077	0.6998360	0.6308981	0.3682476	1.1809481	0.3698775	0.2310136	0.1985792	0.0806306	0.0760437	0.2269378	0.0283395	0.0165672	0.1438836	0.1450759	0.2112761	0.2362561	-155952.071
34460	1.6489880	0.8765007	0.7192303	0.6841257	0.6180056	0.3478912	1.1485039	0.3900847	0.2218766	0.1896891	0.0768766	0.0698876	0.2166642	0.0252067	0.0165672	0.1137282	0.2687331	0.1519148	0.2841420	-155945.726
34470	1.6332632	0.8729413	0.7392426	0.7018651	0.6246409	0.3559085	1.1222248	0.4045467	0.2218766	0.2010094	0.0777401	0.0664369	0.2162327	0.0252067	0.0165672	0.1190134	0.1423366	0.2016938	0.1815823	-155961.579
34480	1.6393101	0.8639142	0.7230560	0.7200885	0.5710858	0.3368931	1.0565512	0.3880178	0.2159682	0.1893055	0.0787034	0.0711979	0.2096861	0.0259032	0.0221325	0.1002042	0.2192890	0.4511833	0.1905604	-155955.595
34490	1.6111089	0.8650627	0.7167892	0.7680560	0.5494101	0.3577927	1.0341733	0.3825104	0.2135825	0.1914485	0.0783408	0.0703214	0.1997364	0.0259032	0.0168480	0.1000059	0.1087490	0.1976274	0.2677576	-155950.320
34500	1.6051288	0.8697040	0.7172377	0.7680560	0.6250982	0.4061114	1.0128417	0.3893661	0.2169816	0.1915692	0.0839240	0.0698683	0.2049154	0.0259032	0.0188258	0.1314632	0.1877379	0.1954230	0.4125241	-155955.632
34510	1.6338576	0.8712811	0.7033546	0.7463573	0.6036025	0.3908562	1.0005888	0.3966391	0.2201916	0.2005953	0.0772062	0.0714405	0.2162571	0.0259032	0.0153539	0.1759478	0.1769464	0.0993704	0.2854192	-155958.214
34520	1.6552170	0.8976761	0.7282000	0.7177024	0.6094395	0.4241407	1.0086140	0.3946031	0.2151539	0.1961477	0.0832292	0.0741688	0.2054035	0.0310450	0.0153539	0.1143302	0.2815195	0.1966514	0.2854192	-155952.375
34530	1.6323121	0.8798009	0.7351702	0.7177024	0.5869291	0.3936251	1.0483637	0.3751447	0.2138224	0.1959342	0.0877387	0.0718933	0.2079359	0.0255676	0.0153539	0.1410905	0.2939380	0.1053284	0.2623806	-155956.651
34540	1.6459854	0.8860593	0.7515997	0.7410573	0.5621388	0.3727129	1.0151093	0.3522197	0.2142999	0.1958732	0.0810323	0.0758080	0.2051670	0.0220755	0.0207706	0.1376836	0.1799657	0.1809063	0.1754266	-155953.220
34550	1.6085088	0.8573934	0.7242412	0.6924429	0.5322389	0.4112033	1.0178919	0.3570886	0.2216105	0.1999985	0.0763822	0.0717006	0.2147733	0.0266125	0.0182503	0.1060007	0.1367514	0.1205579	0.2678900	-155953.126
34560	1.6160386	0.8607966	0.7134555	0.7076049	0.5655945	0.4125326	0.9858315	0.3517666	0.2154132	0.1917111	0.0820256	0.0641754	0.2099172	0.0266125	0.0182503	0.1097008	0.2551566	0.1462401	0.4837466	-155959.206
34570	1.6133020	0.8581517	0.7558239	0.6946828	0.5246555	0.4172257	0.9708082	0.3600364	0.2066548	0.1695302	0.0708567	0.0573268	0.2029662	0.0335906	0.0182503	0.1342645	0.2785057	0.1262365	0.2121825	-155971.013
34580	1.5959096	0.8560489	0.7650548	0.7024195	0.5246555	0.4081300	0.9381335	0.3895383	0.2052673	0.1761232	0.0737688	0.0620678	0.1958598	0.0225835	0.0195195	0.1219036	0.2362071	0.2959109	0.2546309	-155959.928
34590	1.5901736	0.8647265	0.7839548	0.6888622	0.5147519	0.4236950	0.9184989	0.3890302	0.2111874	0.1647732	0.0813479	0.0740237	0.2053263	0.0291686	0.0195195	0.1368546	0.2774381	0.1590942	0.3086035	-155970.402
34600	1.5958405	0.8712785	0.7855162	0.6549301	0.5147519	0.4165232	0.8792185	0.3965611	0.2147859	0.1768282	0.0761788	0.0729187	0.2049060	0.0291686	0.0154883	0.1368546	0.1484211	0.1640401	0.2942927	-155954.421
34610	1.5947244	0.8775867	0.7705887	0.6520284	0.5014910	0.4010012	0.8691882	0.3939780	0.2101452	0.1867210	0.0787795	0.0716375	0.2012663	0.0291686	0.0159427	0.1368546	0.3925221	0.2915946	0.2942927	-155952.893
34620	1.5889197	0.9036434	0.7844384	0.6689611	0.5105153	0.4113588	0.8459894	0.3919119	0.2024747	0.1797514	0.0779656	0.0716375	0.1974893	0.0291686	0.0159075	0.1213610	0.1745016	0.2902644	0.1642805	-155965.583
34630	1.5704336	0.8899162	0.7634034	0.6567774	0.5320057	0.3872749	0.8090558	0.3972421	0.2011529	0.1751963	0.0834039	0.0756250	0.1943442	0.0291686	0.0167094	0.1675062	0.2678572	0.1476270	0.3925949	-155948.161
34640	1.5959950	0.8714853	0.7624216	0.6567774	0.5424083	0.3762861	0.8317542	0.3772370	0.2107832	0.1776432	0.0800176	0.0714444	0.1983964	0.0218466	0.0196276	0.1505917	0.2761110	0.3339280	0.2729499	-155949.832
34650	1.6088194	0.8979418	0.7562578	0.7365224	0.5238125	0.3622818	0.8847341	0.3787756	0.2102237	0.1810986	0.0809969	0.0756453	0.2032740	0.0255217	0.0196619	0.1201309	0.2236679	0.2626739	0.3128136	-155962.277
34660	1.6007998	0.8979418	0.7791130	0.7643111	0.5502916	0.4073557	0.8959433	0.3745536	0.2129423	0.1842210	0.0790310	0.0720879	0.2078745	0.0227461	0.0188833	0.1201309	0.2052530	0.2107614	0.2638574	-155961.422
34670	1.5573842	0.9040210	0.7688842	0.7380658	0.6283318	0.3678619	0.9309765	0.3863884	0.2222346	0.1827938	0.0815911	0.0720879	0.2148402	0.0225994	0.0188833	0.1470674	0.1340176	0.2156217	0.2638574	-155957.679
34680	1.5531568	0.9094925	0.7544989	0.7380658	0.5726475	0.3661246	0.8944762	0.3997306	0.2305796	0.1823849	0.0751610	0.0690208	0.2226954	0.0284451	0.0142338	0.1064393	0.2748893	0.2829821	0.3293311	-155974.370
34690	1.6035390	0.8964664	0.7422017	0.7618404	0.5781513	0.4013678	0.8860966	0.3959918	0.2280538	0.1869036	0.0717224	0.0655984	0.2259957	0.0291439	0.0171955	0.1371015	0.3233746	0.1842106	0.4575093	-155960.848
34700	1.5650327	0.9047915	0.7534704	0.7942400	0.5781513	0.3979784	0.8668464	0.3865005	0.2362518	0.1828240	0.0704855	0.0612271	0.2330834	0.0214481	0.0171955	0.1109355	0.4055327	0.1842106	0.2869726	-155951.255
34710	1.5744612	0.8851021	0.7315699	0.7799211	0.6177999	0.3903168	0.8532022	0.3587863	0.2300700	0.1941819	0.0652845	0.0541107	0.2186919	0.0350559	0.0217436	0.1446596	0.3457789	0.4413523	0.2448488	-155960.091
34720	1.5820717	0.9017964	0.7134264	0.7881972	0.6458252	0.3993677	0.8969988	0.3760512	0.2199242	0.1972817	0.0654658	0.0542979	0.2050440	0.0227884	0.0245319	0.1551785	0.1700912	0.2419330	0.3091503	-155967.286
34730	1.6353629	0.8896207	0.7127966	0.7963025	0.5953355	0.4338512	0.9254760	0.3677624	0.2163164	0.2015630	0.0697305	0.0628432	0.2093767	0.0243624	0.0190835	0.1201518	0.4116437	0.3162212	0.1367068	-155964.101
34740	1.6683760	0.9013644	0.7073080	0.7785482	0.6154290	0.4567473	0.8980646	0.3636411	0.2204193	0.1970349	0.0720779	0.0623174	0.2099746	0.0221688	0.0170945	0.1251962	0.2133100	0.4089994	0.1711958	-155947.777
34750	1.6573762	0.8920404	0.7023585	0.7571762	0.6305797	0.4524632	0.9072354	0.3688048	0.2230579	0.1832565	0.0714719	0.0647286	0.2184903	0.0306162	0.0170945	0.1251962	0.2356160	0.1767582	0.2059622	-155961.341
34760	1.5580675	0.8970749	0.6864180	0.7445784	0.6285341	0.4522739	0.8740861	0.3636915	0.2271843	0.2101715	0.0811416	0.0739759	0.2184987	0.0306162	0.0181001	0.1161097	0.3778727	0.2601847	0.2322718	-155950.739
34770	1.5794059	0.8908184	0.7147083	0.7542948	0.6317603	0.4298882	0.8867665	0.3766665	0.2279957	0.2110486	0.0780456	0.0712088	0.2233414	0.0313629	0.0160235	0.1161097	0.3338440	0.1743756	0.1989661	-155953.829
34780	1.5714294	0.8955176	0.7047130	0.7542948	0.6677276	0.3982999	0.8274863	0.3728832	0.2246258	0.2083142	0.0843724	0.0679259	0.2184762	0.0317805	0.0160235	0.1022973	0.2019802	0.1198407	0.2725193	-155964.155
34790	1.6141197	0.9097475	0.6928075	0.7671404	0.6678048	0.3546700	0.7791757	0.3697075	0.2234645	0.2042263	0.0773291	0.0705989	0.2116163	0.0271671	0.0192601	0.1337505	0.3152266	0.2496928	0.3125853	-155960.102
34800	1.6094288	0.8904963	0.6822656	0.7645748	0.6770451	0.3527447	0.8184842	0.3945205	0.2182930	0.2047579	0.0808661	0.0705989	0.2104991	0.0255656	0.0152394	0.1151848	0.2711958	0.3202229	0.1918858	-155959.646
34810	1.5934400	0.9006926	0.6794012	0.7803599	0.6954198	0.3413568	0.8511712	0.4023453	0.2230068	0.2022043	0.0812869	0.0707551	0.2104991	0.0294276	0.0204714	0.1151848	0.2711958	0.4136860	0.3796315	-155966.859
34820	1.5944424	0.8878682	0.6505186	0.7803599	0.7029278	0.3660604	0.8262475	0.4015140	0.2256072	0.1898390	0.0893679	0.0821695	0.2174954	0.0348422	0.0182079	0.1418825	0.3501945	0.2217135	0.2213066	-155956.822
34830	1.5658445	0.8938237	0.6303431	0.7803599	0.7138023	0.3607933	0.7872449	0.3685138	0.2257465	0.1906526	0.0894952	0.0821695	0.2162696	0.0278715	0.0182079	0.1323924	0.3237527	0.2191765	0.2920617	-155949.391
34840	1.6174949	0.9007255	0.6937825	0.7679240	0.6925957	0.3620457	0.8175893	0.3920959	0.2311404	0.1993868	0.0860365	0.0780120	0.2195377	0.0278715	0.0183035	0.1048286	0.1878538	0.2451445	0.1350271	-155949.872
34850	1.6355861	0.8812005	0.6996860	0.7360938	0.6805829	0.3667028	0.8219076	0.3725958	0.2301000	0.1935780	0.0838114	0.0731510	0.2253474	0.0249295	0.0253665	0.1200334	0.2823187	0.3765631	0.3349503	-155966.490
34860	1.6108492	0.8595176	0.6872806	0.7543835	0.6904677	0.3794322	0.8162354	0.3983035	0.2356310	0.1971532	0.0833858	0.0758618	0.2253474	0.0219879	0.0171949	0.1279378	0.3077912	0.2618027	0.5612867	-155958.319
