Gen	t_n15	t_n16	t_n17	t_n18	t_n19	t_n20	t_n21	t_n22	t_n23	t_n24	t_n25	t_n26	t_n27	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
250	1.1892087	0.9002704	0.7896256	0.4493025	0.3872097	0.2180163	0.6287076	0.3026163	0.1672007	0.1547293	0.0824238	0.0772625	0.1655788	0.0394025	0.0215893	0.1746606	0.3939122	0.4934256	0.3481964	-155965.392
260	1.1500544	0.8963523	0.8037069	0.4572401	0.3768931	0.2487265	0.6317201	0.3144574	0.1686204	0.1486309	0.0849050	0.0800539	0.1672824	0.0394025	0.0254986	0.2377350	0.3945114	0.4221410	0.5182106	-155964.717
270	1.1686354	0.9077955	0.8265402	0.4780144	0.3719758	0.2426898	0.6347390	0.3076921	0.1739353	0.1576044	0.0832186	0.0772717	0.1672839	0.0340199	0.0217465	0.1803152	0.3100951	0.3315534	0.5576657	-155968.313
280	1.1957598	0.9225005	0.8457233	0.4780144	0.3440233	0.2399156	0.6538437	0.3221272	0.1770675	0.1592546	0.0832186	0.0772717	0.1714090	0.0316658	0.0229592	0.1696837	0.2365405	0.3360365	0.4535711	-155961.266
290	1.2132055	0.8997527	0.8218301	0.5136360	0.3301070	0.2302578	0.6699724	0.3267432	0.1779377	0.1519294	0.0788818	0.0723540	0.1739982	0.0415129	0.0287323	0.1302795	0.3962187	0.4953047	0.4235995	-155954.106
300	1.1791466	0.8985073	0.8225544	0.4710332	0.3167356	0.2083075	0.6584710	0.3069191	0.1768940	0.1573166	0.0819523	0.0720806	0.1674710	0.0305888	0.0286664	0.1660059	0.3454248	0.4445349	0.4235995	-155956.980
310	1.2014525	0.8989537	0.8234873	0.4937373	0.3014446	0.1863243	0.6546854	0.3180977	0.1741807	0.1648428	0.0814875	0.0773732	0.1689785	0.0398631	0.0311134	0.1379702	0.3454248	0.5804294	0.5310342	-155960.208
320	1.2161921	0.9077277	0.8240471	0.5049014	0.2704758	0.1713742	0.6741593	0.3082863	0.1787774	0.1596775	0.0753670	0.0688867	0.1745643	0.0470584	0.0236814	0.1355262	0.4502792	0.5617094	0.4875645	-155949.925
330	1.2071148	0.9014992	0.8224396	0.4572764	0.2780248	0.1878781	0.7060127	0.2983189	0.1815385	0.1501341	0.0753670	0.0688867	0.1666399	0.0336537	0.0266540	0.1365541	0.3129555	0.5375779	0.6435922	-155957.973
340	1.2323907	0.9032886	0.7897521	0.4204886	0.2850652	0.1877695	0.7058194	0.3159141	0.1763523	0.1574902	0.0796405	0.0737743	0.1669986	0.0393409	0.0222337	0.1512895	0.3527714	0.2618608	0.3522759	-155959.079
350	1.2441230	0.9070498	0.7703239	0.4095091	0.3021376	0.1997465	0.6935605	0.3072403	0.1701326	0.1579272	0.0782851	0.0723439	0.1652027	0.0301772	0.0222337	0.1730803	0.3527714	0.2778197	0.3996660	-155954.137
360	1.2438670	0.9195524	0.7688801	0.4415622	0.3063584	0.2071669	0.6663171	0.3238607	0.1767455	0.1555296	0.0792852	0.0713267	0.1656215	0.0360633	0.0197259	0.1802075	0.2404997	0.2630135	0.5212402	-155961.785
