Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	0.3773266	0.2516155	0.1404980	0.1267198	0.1062738	0.0447000	0.0354327	0.0919806	0.0518964	0.2362454	0.2580483	0.2033289	0.1460052	-638238.542
1000	0.3990368	0.2466107	0.1449038	0.1310553	0.1177899	0.0483946	0.0338210	0.0763665	0.0476253	0.2331005	0.1883267	0.1121789	0.1185608	-638242.105
2000	0.3875511	0.2515384	0.1375890	0.1277465	0.1119126	0.0469464	0.0318557	0.0697144	0.0464306	0.1998869	0.0777084	0.0674268	0.1845100	-638241.111
3000	0.4015022	0.2484033	0.1248431	0.1109329	0.1014080	0.0446122	0.0259216	0.1148804	0.0497880	0.2386876	0.1712893	0.0959944	0.3557049	-638241.776
4000	0.3980260	0.2263441	0.1114386	0.1013244	0.0915066	0.0418991	0.0302916	0.0833056	0.0602685	0.2734786	0.1529820	0.1020499	0.1509601	-638239.061
5000	0.3983535	0.2472856	0.1493398	0.1350809	0.1139871	0.0425012	0.0275881	0.0750289	0.0509960	0.2329182	0.1561464	0.1169111	0.2202994	-638233.739
6000	0.3892381	0.2485709	0.1739585	0.1477460	0.1325385	0.0502617	0.0345710	0.0574043	0.0486786	0.1770388	0.0931199	0.1045249	0.1149274	-638246.149
7000	0.3813069	0.2409981	0.1537595	0.1402118	0.1251029	0.0416039	0.0311129	0.0791078	0.0497183	0.1985753	0.1119190	0.1641304	0.2223644	-638241.996
8000	0.3842017	0.2563878	0.1540013	0.1420212	0.1275291	0.0418137	0.0293505	0.0896157	0.0397299	0.2132241	0.2365945	0.1809470	0.2625272	-638242.849
9000	0.3919499	0.2637470	0.1585743	0.1406721	0.1302847	0.0500702	0.0312361	0.0560930	0.0439546	0.2300564	0.1905839	0.1223071	0.1995666	-638238.826
10000	0.3933274	0.2664572	0.1527415	0.1334513	0.1200279	0.0493873	0.0360292	0.0820343	0.0419996	0.2500217	0.1789832	0.1693114	0.1386621	-638238.748
11000	0.3941880	0.2449597	0.1418990	0.1253058	0.1179689	0.0432176	0.0308205	0.0641547	0.0497464	0.2840033	0.1309202	0.1582347	0.1477248	-638239.713
