0.5992	0.5735
0.6188	0.5960
0.1231	0.1179
0.6006	0.5835
0.1071	0.1037
0.0703	0.0720
0.6058	0.5805
0.1130	0.1118
0.0686	0.0715
0.0630	0.0675
0.6052	0.5823
0.1143	0.1126
0.0713	0.0725
0.0653	0.0678
0.0223	0.0215
0.6039	0.5789
0.1203	0.1118
0.0756	0.0716
0.0690	0.0670
0.0621	0.0612
0.0637	0.0617
0.6032	0.5785
0.1136	0.1107
0.0695	0.0707
0.0647	0.0676
0.0207	0.0208
0.0236	0.0210
0.0623	0.0599
2.2029	2.1217
2.3485	2.2380
2.3560	2.2589
2.3420	2.2526
2.3464	2.2591
2.3785	2.2825
2.3112	2.2399
2.3573	2.2577
