mutation_per_site	n_estimation	theta_per_site_median	theta_per_site_2.5%	theta_per_site_97.5%	year	Ne_median	Ne_2.5%	Ne_97.5%	Ne_12.5%	Ne_87.5%
4.9E-324	200	0.0010643	0.0010437489583333334	0.001302165625	1.372404573E-315	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.607643893493371E-7	200	0.0010643	0.0010437489583333334	0.001302165625	44.656774819260306	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6278208688954855E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.21724635820793	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6278208688954855E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.21724635820793	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6376840150897025E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.491222641380624	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6376840150897025E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.491222641380624	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.643437564792826E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.65104346646739	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.643437564792826E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.65104346646739	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6475390050026632E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.76497236118509	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6475390050026632E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.76497236118509	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6515015885413676E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.8750441261491	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6515015885413676E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.8750441261491	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6522829527897744E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.896748688604845	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6522829527897744E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.896748688604845	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6544703822703007E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.957510618619466	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6544703822703007E-7	200	0.0010643	0.0010437489583333334	0.001302165625	45.957510618619466	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6562787971459844E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.00774436516623	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6562787971459844E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.00774436516623	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6596577314089968E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.10160365024991	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6596577314089968E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.10160365024991	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6599956035426147E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.11098898729485	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6599956035426147E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.11098898729485	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6605783098472237E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.12717527353399	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6605783098472237E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.12717527353399	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6622312929096207E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.173091469711686	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6622312929096207E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.173091469711686	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.663491503282241E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.208097313395584	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.663491503282241E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.208097313395584	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6657061393595596E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.26961498220999	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
1.6657061393595596E-7	200	0.0010643	0.0010437489583333334	0.001302165625	46.26961498220999	73909.72222222222	72482.56655092593	90428.16840277778	73394.88570601851	79921.81712962964
