Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3
13750	0.6585616	0.1375029	0.1228294	0.0678333	0.0018021	0.0125130	0.0068162	0.0435710	0.0090353	0.0219674	0.0033095	0.0704405
13760	0.2540980	0.1362677	0.1003038	0.0800727	0.0020618	0.0533942	0.0061710	0.0435710	0.0104856	0.0468425	0.0041425	0.1266598
13770	0.2901118	0.1464206	0.1342756	0.0648134	0.0380162	0.0897049	0.0072588	0.0448405	0.0107417	0.1282476	0.0055065	0.1206112
13780	1.0414769	0.1455025	0.1393764	0.0722702	0.0207867	0.0221238	0.0074487	0.0380131	0.0100046	0.0546890	0.0114602	0.1670528
13790	0.8095243	0.1592441	0.1311134	0.0708251	0.0212624	0.1265336	0.0076136	0.0406818	0.0095872	0.1798380	0.0428115	0.2444628
13800	0.8095243	0.1227580	0.0780138	0.0703732	0.0274372	0.0590465	0.0087808	0.0432418	0.0091784	0.2216451	0.0719437	0.2778558
13810	0.4249835	0.1462765	0.1126607	0.0708495	0.0700805	0.0343566	0.0076075	0.0449191	0.0075359	0.2216451	0.1696618	0.1598940
13820	0.9818083	0.1285827	0.0943915	0.0771175	0.0700805	0.0901016	0.0095598	0.0404335	0.0075233	0.1676401	0.3358254	0.1298118
13830	0.4813958	0.1314702	0.1242963	0.0796647	0.0700805	0.1291957	0.0085261	0.0497252	0.0080590	0.0755605	0.9341891	0.0744475
13840	0.7389758	0.1342232	0.1188397	0.0717877	0.0700805	0.1291957	0.0084308	0.0671015	0.0082736	0.1501024	0.8634889	0.0114713
13850	0.1512365	0.1283014	0.0652843	0.0645604	0.0351539	0.0279057	0.0096354	0.0542405	0.0081893	0.1435685	0.2432578	0.0688803
13860	0.4878135	0.1167322	0.0831323	0.0713382	0.0348417	0.1098289	0.0091334	0.0607504	0.0090347	0.1435685	0.0398293	0.0690351
13870	0.5850616	0.1399878	0.1091317	0.0594154	0.0554289	0.0594647	0.0109833	0.0472555	0.0103712	0.2383455	0.1144329	0.0254185
13880	0.7344777	0.1425501	0.0950797	0.0739850	0.0068744	0.0115501	0.0092702	0.0390080	0.0120343	0.2383455	0.3081459	0.0900461
13890	0.5067221	0.1371404	0.0714827	0.0694306	0.0164848	0.1139299	0.0103909	0.0418273	0.0112102	0.0392065	0.3515368	0.0900461
13900	0.2089463	0.1237888	0.0822728	0.0783820	0.0684716	0.1139299	0.0080744	0.0637337	0.0112748	0.0819611	0.4981761	0.3333711
13910	0.4402916	0.1519067	0.0969698	0.0690852	0.0674794	0.1269020	0.0088486	0.0498170	0.0118405	0.1664563	0.1147963	0.0986665
13920	0.4493815	0.1200076	0.1139251	0.0690003	0.0674794	0.0813253	0.0102056	0.0565580	0.0106776	0.1609950	0.0598688	0.0840060
13930	0.6969928	0.1290970	0.1016592	0.0707385	0.0674794	0.0540292	0.0116088	0.0628254	0.0116467	0.0912493	0.0641044	0.0148293
13940	0.2011170	0.1439369	0.0966293	0.0783240	0.0299831	0.0869746	0.0154989	0.0646167	0.0101829	0.1179266	0.0495637	0.0422107
13950	0.1267940	0.1246915	0.1075252	0.0750134	0.0325983	0.0012407	0.0153601	0.0682507	0.0107328	0.1014151	0.0497069	0.0809844
13960	0.5928694	0.1415252	0.0949589	0.0790393	0.0377097	0.0349214	0.0184541	0.0607679	0.0096113	0.2227735	0.1971417	0.0801707
13970	0.7092571	0.1287999	0.0974069	0.0622796	0.0377097	0.0523646	0.0152105	0.0511440	0.0115140	0.1159767	0.2980209	0.1786478
13980	0.7092571	0.1294069	0.0816145	0.0728363	0.0524816	0.1098481	0.0145058	0.0538289	0.0132209	0.2282364	0.0619545	0.2543499
13990	0.3564939	0.1590778	0.1554103	0.0680312	0.0659912	0.0642736	0.0155574	0.0458542	0.0115567	0.2338035	0.0461941	0.2506208
14000	0.3384186	0.1266661	0.1033663	0.0782583	0.0651358	0.1233109	0.0171836	0.0486598	0.0104023	0.2931684	0.0139989	0.0588461
14010	0.7374917	0.1341732	0.1027577	0.0655822	0.0344945	0.0446951	0.0156741	0.0480913	0.0108118	0.1308633	0.1071220	0.0132342
14020	0.1397294	0.1383903	0.1327752	0.0704323	0.0318768	0.0830552	0.0146504	0.0394839	0.0123675	0.1212271	0.0921314	0.0318520
14030	1.0440375	0.1361390	0.1204578	0.0618431	0.0471471	0.0278535	0.0129097	0.0387312	0.0155900	0.0510624	0.0685943	0.1267269
14040	0.1709823	0.1500465	0.1444431	0.0732226	0.0457087	0.0693849	0.0103173	0.0287546	0.0139032	0.0347187	0.0496554	0.1045365
14050	0.8483923	0.1362854	0.1101849	0.0628815	0.0184653	0.0426251	0.0114489	0.0262156	0.0123272	0.0797290	0.0091591	0.1526715
14060	0.5645207	0.1266495	0.1136491	0.0725828	0.0165029	0.0966184	0.0104698	0.0278336	0.0164932	0.0065055	0.0090389	0.0529531
14070	0.5645207	0.1516920	0.1218636	0.0753983	0.0289858	0.0966184	0.0102249	0.0292485	0.0173149	0.0040095	0.0020873	0.0089975
14080	0.3951496	0.1585427	0.1523928	0.0701968	0.0127384	0.0034457	0.0115932	0.0292485	0.0164862	0.0077259	0.0097202	0.0098773
14090	0.4264344	0.1357800	0.0870609	0.0731316	0.0109481	0.0145279	0.0110294	0.0274973	0.0165665	0.0055794	0.0108145	0.0131444
14100	0.9479382	0.1299741	0.1141134	0.0631460	0.0133135	0.0234175	0.0111174	0.0274973	0.0151403	0.0020165	0.0077649	0.0131444
14110	0.9479382	0.1514852	0.1329052	0.0715346	0.0445962	0.0505530	0.0114223	0.0266401	0.0141765	0.0071731	0.0055773	0.0640386
14120	0.8812807	0.1585479	0.1198383	0.0676285	0.0357148	0.0119573	0.0110396	0.0266401	0.0154328	0.0201189	0.0046925	0.0296670
14130	0.9773010	0.1260562	0.1165837	0.0684145	0.0032793	0.1062869	0.0126019	0.0266401	0.0169199	0.0451100	0.0085978	0.0155260
14140	0.4482543	0.1432854	0.1050968	0.0718118	0.0632606	0.0611574	0.0096595	0.0266401	0.0159587	0.1528508	0.0015651	0.0513426
14150	0.6208383	0.1577526	0.1571781	0.0756487	0.0703252	0.1508626	0.0089865	0.0266401	0.0181118	0.0648773	0.0017001	0.1043984
14160	0.7975270	0.1456629	0.1216761	0.0767754	0.0703252	0.0131768	0.0099985	0.0266401	0.0196621	0.0905258	0.0016962	0.1816910
14170	0.9624529	0.1356971	0.0819796	0.0737693	0.0328765	0.1072767	0.0090431	0.0266401	0.0215104	0.1362003	0.0012455	0.0851268
14180	0.3733047	0.1550152	0.1445508	0.0723322	0.0603329	0.0006688	0.0077628	0.0266401	0.0197596	0.1547998	0.0016006	0.1251154
14190	0.6491682	0.1304145	0.0685616	0.0645813	0.0603329	0.1271751	0.0074262	0.0266401	0.0186578	0.0476673	0.0027512	0.0408556
14200	0.6491682	0.1415880	0.1247975	0.0605794	0.0486047	0.0954985	0.0068240	0.0255413	0.0227769	0.0534930	0.0123970	0.0715416
14210	0.5639949	0.1326548	0.0831483	0.0615624	0.0258818	0.0954985	0.0054124	0.0246412	0.0217794	0.1466561	0.0275224	0.0872375
14220	0.2490922	0.1579285	0.1043961	0.0641461	0.0217136	0.0146693	0.0062012	0.0247332	0.0230168	0.7162095	0.1902732	0.1669101
14230	1.0207764	0.1408277	0.0978134	0.0617330	0.0339028	0.1005941	0.0068953	0.0212979	0.0250247	0.4299936	0.0795128	0.0902398
14240	1.0463291	0.1447454	0.0750258	0.0625392	0.0287616	0.0725923	0.0053473	0.0203193	0.0223035	0.2881206	0.1010149	0.0716423
14250	0.9917378	0.1447454	0.0667168	0.0620731	0.0018702	0.1408257	0.0048556	0.0228432	0.0238496	0.1135364	0.0358916	0.1040028
14260	0.4660427	0.1418954	0.0969436	0.0665412	0.0291945	0.1253184	0.0036042	0.0179412	0.0263627	0.3732252	0.0575598	0.3381062
14270	0.4255733	0.1581154	0.1512355	0.0742707	0.0723227	0.0842623	0.0046552	0.0192346	0.0225879	0.2459970	0.0285667	0.2228539
14280	0.8391739	0.1307507	0.1192101	0.0664894	0.0339168	0.1134327	0.0052717	0.0180689	0.0212029	0.1486861	0.0387014	0.2012889
14290	0.7290992	0.1263788	0.1040248	0.0792705	0.0023080	0.1134327	0.0050442	0.0152721	0.0213933	0.0337685	0.0089556	0.1921583
14300	0.6572380	0.1340354	0.0816522	0.0747491	0.0089606	0.0261597	0.0062009	0.0155701	0.0231061	0.0561450	0.0063974	0.0774569
14310	0.8246358	0.1584262	0.0777098	0.0732589	0.0313961	0.0853555	0.0062496	0.0157479	0.0227119	0.0293854	0.0086640	0.0501419
14320	0.4640471	0.1307680	0.1179263	0.0800100	0.0157275	0.1269411	0.0060781	0.0165299	0.0230869	0.0118358	0.0050393	0.0088117
14330	0.8970184	0.1369281	0.0834810	0.0688442	0.0455253	0.1269411	0.0057870	0.0165299	0.0254356	0.0037710	0.0064787	0.0271478
14340	0.7317927	0.1368580	0.0904104	0.0765694	0.0455253	0.0108735	0.0059960	0.0174165	0.0249251	0.0064270	0.0138135	0.0159845
14350	0.6896880	0.1387093	0.0937776	0.0693216	0.0455253	0.0060124	0.0059951	0.0162031	0.0218109	0.0122571	0.0199121	0.0053787
14360	0.3980138	0.1368549	0.1232904	0.0724929	0.0050037	0.0317107	0.0063634	0.0195609	0.0216692	0.0064585	0.0196200	0.0216541
14370	0.7004456	0.1352863	0.0934555	0.0688009	0.0359178	0.0484422	0.0066851	0.0197015	0.0215973	0.0033241	0.0372631	0.0189358
14380	0.7004456	0.1199991	0.0771088	0.0656181	0.0290853	0.0055352	0.0065462	0.0179370	0.0224963	0.0012454	0.1298100	0.0201686
14390	0.7004456	0.1491094	0.1454805	0.0785271	0.0170165	0.0632302	0.0065462	0.0142346	0.0238064	0.0020688	0.0339868	0.0078709
14400	0.9501211	0.1360469	0.0874082	0.0649437	0.0510388	0.0687318	0.0065462	0.0147207	0.0243684	0.0012625	0.0424294	0.0040344
14410	0.9501211	0.1252235	0.0843572	0.0735193	0.0510388	0.0346867	0.0065462	0.0130831	0.0234801	0.0010124	0.0438532	0.0040344
14420	0.9031520	0.1434413	0.1043924	0.0750994	0.0666694	0.0150499	0.0065462	0.0153029	0.0226640	0.0022669	0.0102250	0.0040605
14430	0.3306051	0.1474618	0.1466161	0.0723174	0.0008755	0.0614190	0.0065462	0.0144189	0.0211045	0.0007857	0.0108136	0.0040605
14440	0.7314513	0.1597169	0.1410466	0.0708396	0.0272133	0.0901316	0.0065462	0.0147819	0.0219449	0.0014169	0.0086187	0.0022575
14450	0.7211466	0.1567591	0.1514393	0.0627222	0.0489106	0.1491360	0.0066954	0.0157456	0.0231647	0.0043122	0.0058167	0.0128244
14460	0.2445301	0.1319240	0.1273555	0.0608490	0.0198163	0.0124709	0.0066954	0.0154729	0.0257200	0.0048445	0.0025421	0.0128244
14470	0.5158282	0.1538937	0.1247692	0.0784215	0.0420447	0.0140738	0.0067219	0.0168075	0.0275817	0.0074780	0.0275788	0.0181614
14480	0.9773646	0.1464019	0.1369273	0.0620831	0.0420447	0.0308161	0.0057818	0.0136686	0.0301556	0.0107585	0.0100116	0.0089801
14490	0.6721353	0.1464019	0.1086473	0.0775336	0.0120431	0.0837020	0.0053141	0.0132035	0.0322432	0.0272407	0.1316207	0.0089801
14500	0.4374408	0.1516163	0.0926569	0.0704011	0.0431145	0.0857952	0.0048797	0.0114041	0.0297834	0.0083867	0.0272637	0.0077341
14510	0.7517190	0.1358694	0.0734511	0.0652460	0.0520657	0.0662644	0.0051091	0.0129572	0.0294222	0.0378557	0.0181679	0.0227057
14520	0.4699046	0.1358694	0.1344982	0.0653255	0.0255923	0.0658629	0.0050577	0.0148185	0.0334690	0.0305039	0.0124758	0.1166547
14530	0.6527509	0.1557505	0.0680557	0.0636910	0.0506603	0.1239253	0.0054942	0.0151402	0.0314324	0.0325440	0.0185892	0.2114665
14540	0.5403392	0.1533479	0.1359375	0.0610514	0.0238051	0.1006279	0.0062541	0.0127462	0.0304954	0.0184997	0.0244872	0.0632325
14550	0.3005109	0.1212918	0.0725264	0.0707607	0.0259457	0.1016359	0.0070922	0.0123426	0.0309535	0.0200298	0.1394669	0.0466929
14560	0.2314935	0.1327701	0.1050419	0.0657608	0.0459839	0.0086075	0.0073427	0.0115107	0.0327985	0.0130223	0.0263469	0.0196734
14570	0.5818167	0.1613911	0.0884584	0.0641442	0.0365835	0.0351850	0.0075268	0.0142797	0.0400389	0.0158246	0.0299639	0.0462406
14580	0.6536160	0.1616823	0.1486566	0.0721468	0.0270365	0.0992169	0.0078722	0.0168654	0.0378886	0.0268431	0.0620297	0.0509990
14590	0.5703874	0.1365171	0.1007972	0.0613289	0.0084739	0.0494085	0.0080939	0.0207333	0.0397114	0.0326627	0.0811198	0.0466148
14600	1.0104980	0.1374187	0.0827537	0.0798490	0.0743903	0.1145148	0.0078096	0.0245879	0.0396912	0.1508191	0.1353313	0.0533689
14610	0.9868553	0.1301177	0.1063598	0.0702179	0.0167674	0.0747885	0.0080577	0.0258326	0.0334354	0.0651486	0.1441152	0.0232423
14620	0.2585937	0.1527739	0.1030018	0.0677129	0.0550050	0.0239770	0.0090636	0.0226536	0.0335819	0.0094799	0.0303613	0.0430587
14630	0.3320821	0.1417431	0.1040456	0.0773306	0.0568436	0.1097625	0.0101172	0.0232982	0.0352299	0.0185142	0.0110399	0.0469206
14640	0.4616715	0.1491922	0.0954410	0.0798997	0.0051789	0.0386953	0.0112336	0.0215845	0.0347608	0.0283946	0.0277120	0.0805163
14650	0.6751489	0.1578063	0.1458165	0.0696431	0.0310849	0.0327163	0.0109688	0.0256979	0.0309051	0.0214093	0.0595291	0.0569873
14660	0.1941315	0.1401615	0.0789737	0.0741582	0.0121542	0.1114549	0.0091779	0.0186458	0.0333905	0.0103436	0.0174229	0.0189319
14670	0.9224921	0.1266503	0.0843391	0.0779964	0.0243325	0.1017152	0.0091293	0.0210916	0.0352513	0.0118917	0.0170438	0.0111120
14680	0.3768543	0.1382374	0.1097041	0.0741111	0.0334237	0.1017152	0.0078833	0.0239344	0.0359787	0.0193139	0.0268674	0.0100791
14690	0.6019570	0.1256604	0.1196792	0.0773751	0.0319658	0.0816993	0.0076750	0.0240439	0.0364383	0.0186626	0.0558697	0.0038509
14700	0.7965539	0.1394689	0.1145570	0.0739091	0.0245313	0.0342981	0.0080436	0.0227863	0.0349673	0.0135723	0.0098327	0.0089829
14710	0.2741934	0.1549728	0.1270693	0.0650617	0.0273816	0.0932085	0.0080467	0.0227863	0.0320457	0.0188002	0.0105633	0.0171983
14720	0.4721515	0.1379145	0.1081860	0.0611234	0.0046493	0.0932085	0.0072101	0.0242467	0.0305396	0.0069287	0.0135341	0.0178718
14730	0.1497401	0.1384961	0.0844672	0.0641256	0.0101323	0.0932085	0.0077903	0.0260382	0.0295427	0.0124308	0.0217719	0.0061617
14740	0.3961825	0.1552143	0.1429585	0.0611736	0.0252131	0.0288310	0.0082043	0.0267352	0.0269835	0.0016059	0.0671067	0.0013272
14750	0.6690693	0.1543037	0.1326493	0.0811222	0.0219374	0.0882866	0.0076777	0.0246084	0.0269835	0.0080203	0.0101184	0.0005362
14760	1.0385961	0.1237142	0.1030808	0.0637391	0.0258826	0.0495864	0.0078247	0.0264569	0.0269835	0.0019405	0.0276471	0.0013341
14770	0.7026384	0.1509045	0.1367175	0.0620760	0.0475065	0.0801023	0.0075050	0.0262411	0.0269835	0.0087475	0.0602384	0.0040045
14780	0.7026384	0.1441155	0.0882944	0.0606786	0.0475065	0.0194806	0.0077009	0.0265035	0.0307197	0.0028441	0.0584984	0.0147424
14790	0.1410809	0.1368497	0.1083288	0.0751737	0.0637599	0.0499300	0.0077009	0.0264311	0.0310946	0.0034815	0.0515864	0.0617565
14800	0.2693383	0.1449629	0.1025765	0.0750876	0.0366258	0.0547527	0.0081935	0.0281038	0.0299100	0.0033684	0.0329859	0.0444382
14810	0.4564243	0.1350581	0.0664307	0.0616041	0.0364987	0.1243605	0.0083048	0.0270245	0.0310314	0.0060127	0.0122369	0.0185059
14820	0.8316790	0.1563240	0.1445596	0.0640098	0.0364987	0.1243605	0.0081949	0.0301174	0.0297682	0.0241393	0.0789080	0.0214576
14830	0.7681744	0.1260795	0.1236625	0.0715802	0.0553684	0.1032813	0.0086154	0.0271930	0.0228903	0.0139361	0.0241826	0.0762449
14840	1.0374795	0.1245851	0.1088283	0.0727096	0.0285078	0.0883373	0.0076950	0.0297805	0.0265191	0.0110988	0.0755573	0.0682304
14850	0.1614625	0.1490004	0.0817358	0.0760191	0.0198761	0.1028191	0.0075332	0.0205793	0.0254520	0.0017985	0.1787718	0.0419916
14860	0.3884022	0.1490004	0.1087348	0.0618741	0.0520872	0.0789117	0.0075332	0.0256440	0.0300490	0.0005073	0.0699445	0.0143987
14870	0.5884026	0.1581951	0.1565434	0.0670991	0.0520872	0.0702563	0.0075332	0.0245006	0.0289215	0.0005277	0.0228664	0.0042333
14880	0.9003628	0.1272111	0.1178583	0.0614194	0.0493506	0.0067495	0.0075332	0.0245935	0.0280766	0.0009754	0.0499139	0.0037200
14890	0.7004074	0.1354530	0.1260242	0.0652374	0.0493506	0.0466264	0.0075332	0.0302534	0.0324473	0.0003129	0.0374911	0.0077382
14900	0.9087854	0.1366605	0.0891335	0.0691706	0.0645482	0.0653917	0.0075332	0.0323813	0.0314345	0.0004579	0.0159169	0.0083666
14910	0.5720631	0.1436599	0.1218408	0.0789792	0.0645482	0.1297068	0.0075332	0.0369413	0.0310797	0.0011535	0.0114957	0.0137037
14920	0.2586120	0.1483639	0.0768926	0.0749413	0.0645482	0.0391580	0.0075332	0.0423217	0.0331642	0.0005436	0.0555730	0.0137037
14930	0.8307221	0.1227636	0.0776237	0.0650072	0.0434127	0.0979378	0.0075332	0.0403980	0.0320932	0.0018599	0.0962894	0.0571501
14940	0.8802856	0.1439154	0.1088037	0.0773317	0.0552746	0.0064163	0.0075332	0.0382585	0.0363195	0.0029219	0.0582471	0.0393352
14950	0.4343543	0.1381640	0.0750069	0.0610463	0.0005236	0.1038927	0.0077944	0.0408389	0.0388587	0.0080472	0.0811652	0.1237683
14960	0.5597669	0.1585789	0.0877251	0.0793728	0.0133121	0.0838686	0.0079487	0.0447417	0.0469702	0.0021673	0.2655562	0.3720914
14970	0.6002579	0.1483799	0.1213957	0.0747161	0.0197519	0.0679538	0.0079487	0.0466195	0.0444937	0.0157401	0.1313109	0.1737894
14980	0.3942990	0.1595071	0.1379986	0.0799495	0.0548343	0.0760580	0.0079434	0.0604859	0.0469451	0.0557066	0.1611100	0.1708550
14990	0.5337494	0.1291453	0.0886233	0.0709695	0.0160121	0.0135543	0.0060365	0.0635460	0.0465550	0.1268195	0.0260492	0.2787690
15000	0.3657332	0.1231173	0.0874055	0.0730597	0.0350831	0.0989897	0.0070042	0.0835814	0.0382123	0.0763886	0.2076777	0.1615683
15010	0.4900226	0.1258719	0.0993852	0.0658759	0.0067668	0.0280901	0.0074174	0.0741876	0.0372090	0.0983756	0.0640691	0.2870964
15020	0.3930245	0.1358565	0.1034111	0.0771975	0.0613875	0.0522686	0.0078262	0.0765311	0.0342322	0.0468269	0.1140611	0.1592184
15030	1.0701561	0.1358565	0.0980358	0.0736885	0.0073850	0.0295618	0.0084558	0.0971533	0.0357047	0.1757334	0.1145562	0.1497525
15040	0.5027418	0.1504551	0.0933248	0.0744042	0.0431663	0.0229543	0.0078786	0.1080199	0.0362429	0.1241648	0.0411330	0.0870885
15050	0.5830483	0.1263148	0.1036664	0.0670592	0.0214629	0.0000273	0.0078900	0.1244844	0.0399102	0.4535398	0.0531394	0.0990818
15060	0.5830483	0.1427950	0.0620201	0.0606748	0.0369346	0.0264166	0.0082191	0.1036080	0.0390695	0.6177744	0.0894438	0.0926478
15070	0.8617451	0.1525685	0.0986370	0.0720761	0.0400033	0.0540038	0.0056822	0.1174151	0.0371810	0.3254057	0.2077373	0.0926478
15080	0.3445754	0.1470621	0.1031026	0.0703219	0.0643092	0.0230291	0.0051236	0.1168687	0.0295940	0.5182519	0.2736370	0.1334040
15090	0.7833055	0.1485712	0.1374977	0.0717027	0.0445184	0.0508200	0.0056387	0.1333978	0.0346721	0.5767438	0.5965452	0.2368932
15100	0.1856352	0.1369244	0.0946671	0.0695657	0.0631188	0.1163106	0.0064167	0.1645328	0.0331475	0.4642615	0.0483701	0.0566894
15110	0.6572418	0.1514298	0.0694211	0.0638820	0.0154025	0.0803513	0.0057704	0.1437696	0.0378976	0.6706278	0.0519867	0.0573229
15120	0.2995723	0.1280506	0.0915657	0.0640942	0.0444267	0.1197099	0.0079199	0.1488475	0.0471188	0.9613271	0.0124879	0.1195362
15130	0.9181558	0.1213003	0.0929014	0.0601591	0.0527496	0.1197099	0.0075788	0.1488475	0.0473322	0.4733198	0.0204637	0.3276066
15140	0.9181558	0.1484376	0.1282168	0.0726945	0.0607123	0.0427880	0.0083243	0.1468881	0.0463230	0.1550715	0.0132419	0.2015675
15150	0.2309921	0.1419879	0.0690591	0.0676160	0.0457116	0.0706655	0.0075854	0.1468881	0.0476812	0.2216729	0.0147766	0.1290067
15160	0.3882156	0.1315301	0.0875870	0.0654976	0.0225869	0.0467497	0.0093000	0.1319482	0.0436557	0.0555574	0.0408887	0.2955497
15170	0.5716343	0.1303817	0.1156047	0.0750727	0.0713949	0.0995477	0.0082979	0.1342573	0.0569184	0.0641577	0.0240887	0.1089870
15180	0.7961645	0.1481829	0.0949569	0.0770684	0.0584788	0.0995477	0.0081973	0.1921385	0.0625819	0.1460734	0.3002796	0.1893757
15190	0.6848474	0.1386212	0.0886845	0.0786535	0.0012567	0.0375183	0.0102285	0.2801006	0.0709830	0.2207190	0.2538992	0.0505996
15200	0.6848474	0.1253001	0.0791891	0.0626828	0.0039418	0.0837971	0.0118971	0.3124795	0.0680356	0.2718492	0.1768583	0.0319813
15210	0.7371794	0.1493196	0.1112248	0.0635055	0.0356406	0.0554271	0.0181958	0.3633150	0.0622889	0.1523450	0.1634702	0.0628396
15220	0.2188858	0.1353838	0.1303828	0.0637297	0.0021509	0.0872937	0.0188537	0.3749667	0.0568080	0.1663128	0.1776943	0.0291875
15230	0.2367015	0.1605820	0.0772815	0.0650862	0.0036252	0.0621886	0.0176409	0.3548344	0.0522851	0.1016970	0.2091185	0.0162929
15240	0.3675292	0.1558409	0.0981135	0.0683520	0.0016723	0.0473349	0.0171186	0.2613807	0.0570792	0.0454373	0.0864764	0.0028093
15250	0.2381225	0.1616238	0.1548020	0.0673361	0.0420421	0.0413393	0.0157540	0.3011718	0.0533593	0.0515969	0.0208681	0.0083205
15260	0.6828365	0.1389889	0.0817979	0.0725345	0.0262588	0.1069632	0.0175886	0.2645370	0.0579121	0.0233199	0.0340117	0.0060284
15270	0.2060427	0.1231385	0.1185004	0.0785423	0.0161449	0.1069632	0.0194688	0.2730955	0.0584824	0.0361281	0.0343014	0.0085061
15280	0.2559824	0.1356776	0.1230579	0.0799728	0.0752418	0.0729210	0.0179456	0.2093176	0.0504727	0.0076840	0.0200167	0.0208645
15290	0.8742907	0.1410504	0.1290710	0.0799728	0.0057542	0.1352525	0.0181789	0.2110730	0.0487879	0.0024361	0.0220760	0.0399560
15300	0.4996520	0.1519434	0.1117545	0.0702497	0.0011977	0.0162648	0.0180192	0.2045402	0.0499321	0.0520564	0.2050202	0.0470088
15310	0.8207200	0.1425709	0.1157826	0.0663728	0.0526076	0.1295415	0.0165592	0.2140203	0.0506526	0.0873903	0.1058795	0.0098389
15320	0.8207200	0.1336518	0.0754193	0.0630788	0.0107852	0.1295415	0.0212578	0.3038684	0.0509799	0.0293806	0.0268497	0.0104691
15330	0.8207200	0.1318087	0.1105454	0.0661039	0.0219093	0.0755349	0.0225617	0.3900069	0.0446446	0.0173889	0.0908922	0.0381278
15340	0.7085861	0.1203214	0.0723509	0.0698462	0.0287462	0.0851730	0.0211765	0.2635164	0.0409578	0.0169611	0.0810739	0.0691558
15350	0.1874992	0.1535070	0.1109349	0.0655078	0.0125799	0.1138596	0.0249843	0.2665768	0.0361496	0.1337743	0.0753396	0.0965859
15360	0.5715406	0.1207341	0.0877897	0.0727716	0.0050010	0.0105130	0.0301749	0.2195967	0.0356279	0.1883574	0.1462763	0.0554985
15370	1.0395622	0.1590639	0.0665996	0.0656235	0.0542109	0.0979835	0.0289826	0.1944807	0.0376703	0.1703742	0.0530276	0.1247784
15380	0.4512431	0.1499822	0.0826173	0.0781896	0.0215858	0.0979835	0.0298220	0.2315312	0.0398389	0.1703742	0.0560281	0.0120043
15390	0.4287562	0.1541419	0.0905075	0.0722427	0.0633861	0.0979835	0.0314893	0.1990721	0.0431307	0.1963263	0.0335487	0.0192093
15400	0.2666098	0.1227790	0.1222469	0.0744380	0.0518642	0.0893510	0.0357101	0.1873515	0.0382484	0.2084294	0.1205299	0.0476345
15410	0.2205416	0.1579110	0.1256308	0.0794412	0.0164566	0.1396087	0.0412438	0.2877952	0.0395885	0.3344327	0.3321557	0.0236284
15420	0.4515086	0.1523441	0.1322931	0.0756353	0.0023798	0.1396087	0.0412315	0.2693657	0.0369796	0.5400959	0.0549273	0.2216223
15430	0.4602838	0.1482948	0.0967685	0.0748988	0.0451798	0.1396087	0.0374561	0.3220485	0.0396849	0.5400959	0.0966158	0.0576472
15440	0.2503264	0.1596793	0.1497534	0.0651360	0.0079299	0.0412854	0.0331974	0.3224459	0.0384874	0.4448850	0.0705532	0.0201263
15450	0.3365627	0.1306404	0.1090824	0.0699344	0.0395456	0.1022235	0.0293172	0.2963160	0.0400805	0.1859424	0.0629015	0.0108889
15460	0.6368739	0.1316994	0.1219577	0.0783048	0.0404784	0.0181021	0.0347608	0.2059435	0.0429011	0.1250526	0.0514331	0.0166013
15470	0.6847789	0.1363328	0.0896939	0.0723214	0.0294720	0.0256597	0.0355297	0.1841017	0.0421371	0.1323586	0.1149746	0.0262672
15480	0.6534404	0.1428127	0.0770918	0.0711893	0.0490201	0.0762134	0.0288110	0.1912512	0.0405511	0.0448015	0.1365054	0.0061784
15490	0.2575241	0.1432477	0.1289933	0.0651385	0.0490201	0.0770790	0.0306210	0.1932873	0.0418964	0.0293279	0.0371345	0.0032905
15500	0.7792834	0.1376439	0.0692129	0.0600923	0.0012108	0.0933454	0.0250664	0.2078881	0.0374313	0.1096395	0.0311819	0.0173941
15510	0.9875423	0.1415265	0.0763525	0.0627307	0.0451180	0.0253252	0.0203643	0.2864280	0.0401682	0.1790480	0.2135851	0.0482051
15520	0.1868619	0.1218591	0.1019186	0.0633085	0.0278160	0.0409201	0.0233943	0.2476219	0.0359989	0.3076427	0.0426609	0.0482051
15530	0.3122808	0.1572611	0.1198964	0.0804939	0.0717383	0.0296785	0.0254538	0.2617680	0.0348430	0.1260121	0.0199500	0.0204341
15540	0.8647071	0.1191365	0.1063300	0.0718582	0.0717383	0.0859725	0.0249349	0.3066858	0.0334386	0.1353823	0.0386104	0.0287847
15550	0.3869922	0.1534534	0.0758362	0.0741599	0.0717383	0.0683256	0.0262720	0.2590099	0.0319236	0.2711521	0.0547768	0.0608396
15560	0.5230943	0.1415655	0.1228800	0.0652155	0.0253666	0.0877477	0.0300560	0.2827604	0.0315754	0.2034431	0.1034529	0.0831722
15570	0.5230943	0.1463208	0.1301185	0.0658064	0.0452202	0.0574576	0.0278448	0.2337707	0.0396502	0.2063424	0.1717365	0.1589191
15580	0.5851269	0.1548833	0.1015259	0.0724171	0.0452202	0.1097801	0.0279459	0.2177691	0.0349084	0.2063424	0.1063391	0.0805769
15590	0.2215073	0.1548833	0.0993752	0.0611955	0.0453577	0.0373116	0.0235859	0.1749645	0.0366065	0.0769060	0.0235387	0.0805769
