Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	1.0899423	0.9802543	0.3391930	0.3120269	0.2343396	0.1987593	0.0321119	0.0184335	0.2587233	1.1821657	0.7565452	0.7610803	-2128012.166
600	1.0213489	0.9704767	0.3226210	0.2989479	0.2151235	0.2033698	0.0407542	0.0210382	0.2174765	0.6987837	0.7588091	1.0471791	-2128006.258
1200	1.0247136	0.9496283	0.3143744	0.2975031	0.2185076	0.2418324	0.0285134	0.0178836	0.1500030	1.2564778	1.3471936	0.7926236	-2128006.314
1800	1.0384178	0.9729112	0.3337305	0.2975551	0.2147451	0.2470868	0.0417929	0.0146639	0.3895241	1.3350773	0.5367890	1.2893029	-2128011.924
2400	1.0490856	1.0315023	0.3207109	0.2751979	0.2127572	0.3057049	0.0288394	0.0155224	0.5423068	0.9783715	1.1709112	2.9041353	-2128002.269
3000	0.9717338	0.9597810	0.3474027	0.2697184	0.2231839	0.2415241	0.0833018	0.0341575	0.3033215	1.8011164	1.4521868	1.6356241	-2128009.958
3600	1.0447268	0.9506620	0.4284213	0.2558151	0.2251617	0.1949061	0.0357638	0.0215134	0.1994059	0.9156347	1.4475885	1.5717545	-2128009.063
4200	1.0298001	0.9522320	0.4017415	0.2610017	0.2300982	0.1717186	0.0388225	0.0258364	0.1890498	0.7167986	1.5668289	2.0609402	-2128006.540
4800	1.0180292	0.9518493	0.3635038	0.2746468	0.2340150	0.1377303	0.0398350	0.0337413	0.2030742	0.9046137	1.4323880	0.8757161	-2128009.049
5400	0.9931166	0.9612525	0.3651059	0.2866730	0.2466305	0.1566674	0.0210683	0.0146267	0.1981488	0.8861697	1.1213454	1.1775309	-2128010.623
6000	1.0465818	1.0443883	0.3286257	0.3034871	0.2691604	0.1436591	0.0406900	0.0243885	0.1606306	1.2107095	1.1341613	0.8976456	-2128011.874
6600	1.0858636	0.9568536	0.3216474	0.3004550	0.2480343	0.1323321	0.0540082	0.0205837	0.2607427	1.1672866	0.8741725	1.0098101	-2128008.189
7200	1.0521409	0.9511739	0.3291605	0.3003873	0.2684921	0.1844750	0.0369871	0.0186802	0.2086934	1.2153902	1.2857203	0.7849654	-2128007.785
7800	1.0970479	0.9535163	0.3305357	0.2981971	0.2633974	0.2113285	0.0443655	0.0372595	0.2170923	0.7419166	1.4957048	0.8378003	-2128006.615
8400	1.0076994	0.9543874	0.3380286	0.3048495	0.2546222	0.2008051	0.0404970	0.0703658	0.3852425	1.0302794	1.6859508	1.3533303	-2128014.794
9000	1.0907661	0.9611392	0.3669609	0.3165125	0.2484114	0.2069817	0.0394479	0.0185724	0.1173959	1.1287831	1.0099254	0.9691701	-2128006.057
9600	1.0482626	1.0138471	0.4060675	0.3078033	0.2438137	0.2282278	0.0316295	0.0493298	0.2312068	0.7852733	1.7559386	1.4515659	-2128007.593
10200	1.0716033	0.9868515	0.3762136	0.3088851	0.2532487	0.1486436	0.0247677	0.0249333	0.3823709	0.6785133	0.8419227	1.0969543	-2128009.232
10800	1.0079414	0.9883849	0.3742352	0.3367486	0.2450312	0.1758630	0.0738360	0.0148290	0.1558181	1.2391153	0.9460533	0.9820935	-2128007.742
11400	0.9716663	0.9582824	0.4029783	0.3698996	0.2531164	0.2098943	0.0318688	0.0382015	0.1575587	0.6499989	1.0521809	1.2516738	-2128009.859
12000	0.9838473	0.9508736	0.4906226	0.4127705	0.2428412	0.2605687	0.0463037	0.0103224	0.1667135	1.3715542	0.9702552	1.8193997	-2127999.460
12600	1.0246662	0.9693134	0.4533859	0.4172310	0.2260698	0.2453482	0.0213664	0.0345023	0.1589761	0.6565163	1.2844478	1.3282408	-2128008.885
13200	1.0845653	0.9871390	0.4661292	0.4249221	0.2381505	0.2450922	0.0309534	0.0199206	0.1819536	0.9243065	1.0107443	0.9859235	-2128006.036
