Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	0.4014284	0.2618490	0.1486831	0.1386410	0.1237507	0.0374412	0.0274261	0.0598001	0.0611779	0.2480874	0.1535128	0.1407949	0.1790860	-638229.996
2000	0.3951934	0.2553137	0.1473073	0.1156478	0.1014378	0.0442863	0.0303669	0.0579746	0.0477778	0.2010974	0.2514761	0.1079047	0.0831214	-638239.055
4000	0.3616255	0.2713754	0.1444979	0.1348193	0.1185769	0.0482378	0.0309061	0.0742998	0.0587671	0.2445696	0.1231965	0.2018855	0.2364408	-638240.650
6000	0.4000512	0.2660828	0.1874151	0.1716230	0.1584401	0.0490413	0.0357530	0.0512847	0.0437220	0.2154045	0.1741430	0.1551474	0.2545116	-638244.281
8000	0.3876936	0.2756872	0.1599753	0.1438981	0.1303575	0.0552455	0.0408955	0.0669537	0.0549815	0.2421407	0.2346985	0.3723245	0.1579154	-638234.000
10000	0.3841842	0.2460873	0.1356674	0.1149020	0.1010387	0.0390893	0.0301432	0.0839939	0.0617349	0.2664726	0.1058841	0.1862032	0.1217057	-638239.069
12000	0.4085195	0.2565844	0.1390996	0.1266771	0.1127562	0.0413822	0.0300403	0.0699334	0.0570500	0.3049016	0.1037284	0.1455953	0.2774095	-638239.603
14000	0.3864566	0.2525499	0.1583328	0.1414755	0.1300849	0.0522061	0.0386541	0.0694657	0.0527040	0.2253232	0.1758914	0.1493675	0.1755344	-638236.809
16000	0.4003616	0.2509362	0.1584759	0.1476694	0.1292209	0.0577054	0.0389783	0.0738549	0.0526095	0.2189036	0.1802751	0.1623014	0.2278034	-638244.216
18000	0.4035191	0.2552141	0.1395217	0.1296562	0.1175244	0.0485415	0.0248022	0.0911427	0.0605164	0.2503233	0.1928339	0.0952031	0.1952958	-638236.802
20000	0.3779418	0.2485346	0.1338810	0.1204075	0.1021221	0.0423683	0.0317392	0.0721906	0.1056497	0.2256644	0.1270125	0.5026180	0.1682342	-638240.425
22000	0.3903608	0.2487121	0.1527123	0.1434144	0.1296927	0.0480734	0.0333232	0.0779991	0.0608276	0.2432326	0.1377207	0.1093739	0.2074772	-638232.729
24000	0.3697309	0.2459444	0.1452540	0.1320499	0.1230542	0.0407801	0.0257139	0.0754144	0.0634565	0.2988414	0.0762968	0.1086256	0.1700420	-638245.170
26000	0.3957562	0.2679218	0.1396608	0.1259473	0.1151142	0.0472229	0.0346961	0.0712956	0.0472686	0.2119297	0.2134406	0.0931249	0.2440952	-638239.731
28000	0.4046526	0.2787885	0.1433386	0.1276501	0.1174340	0.0463259	0.0333404	0.0815752	0.0612987	0.2192459	0.1402915	0.1118846	0.1941107	-638240.760
30000	0.3987877	0.2449840	0.1348191	0.1192535	0.1059437	0.0392779	0.0281092	0.0786382	0.0643635	0.2226879	0.2225310	0.1243460	0.2717988	-638233.701
32000	0.4027645	0.2553876	0.1468464	0.1324822	0.1192028	0.0369225	0.0282685	0.0814650	0.0616661	0.2266849	0.1875309	0.1546805	0.1845743	-638242.546
34000	0.4035800	0.2670469	0.1523445	0.1366395	0.1179099	0.0474840	0.0263455	0.0739850	0.0630305	0.2221599	0.2330661	0.2151029	0.1798321	-638237.340
36000	0.4217914	0.2497290	0.1277207	0.1138476	0.0986534	0.0460580	0.0330117	0.0810838	0.0490277	0.2348127	0.0772590	0.1707871	0.1433780	-638243.405
38000	0.3661890	0.2596811	0.1363681	0.1214746	0.1080557	0.0423205	0.0321869	0.0934655	0.0544212	0.2386748	0.1579379	0.1441243	0.2133564	-638242.754
40000	0.3961814	0.2420821	0.1400452	0.1284401	0.1099493	0.0454353	0.0309738	0.0896060	0.0450405	0.2560008	0.2388006	0.2066125	0.0969962	-638245.796
42000	0.3873905	0.2538583	0.1229692	0.1114143	0.0973005	0.0333505	0.0240823	0.0999854	0.0735766	0.2819593	0.2414576	0.2359061	0.1696449	-638249.745
44000	0.3972154	0.2527514	0.1396941	0.1227633	0.1083515	0.0387078	0.0285433	0.0711190	0.0505367	0.2306589	0.1060110	0.1132639	0.1072712	-638237.758
46000	0.4129974	0.2600723	0.1173455	0.1047018	0.0825077	0.0357142	0.0234727	0.0899434	0.0593515	0.2380832	0.1719687	0.4155073	0.1210108	-638236.318
48000	0.3875719	0.2390592	0.1432972	0.1277107	0.1112993	0.0327291	0.0229111	0.0597292	0.0712771	0.2362998	0.1145571	0.2493083	0.1298297	-638243.294
50000	0.3917725	0.2852397	0.1525240	0.1399603	0.1245735	0.0507132	0.0350252	0.0692623	0.0433910	0.2131509	0.1845135	0.0824359	0.1425650	-638237.432
52000	0.4085300	0.2820145	0.1452679	0.1339357	0.1236616	0.0446632	0.0330176	0.0690276	0.0611945	0.2540090	0.1900462	0.2322974	0.1846314	-638238.785
54000	0.3884746	0.2469367	0.1460823	0.1296691	0.1174293	0.0393925	0.0271643	0.1026873	0.0579421	0.2137120	0.2816048	0.1976113	0.1920007	-638231.837
56000	0.3959319	0.2500060	0.1573743	0.1439503	0.1332587	0.0456915	0.0331911	0.0712722	0.0540767	0.2329488	0.1546557	0.1615288	0.2068077	-638232.939
58000	0.3843272	0.2401325	0.1359405	0.1230233	0.1011257	0.0419146	0.0329190	0.0762212	0.0680066	0.2588455	0.1918358	0.2051892	0.2225529	-638237.925
60000	0.3431800	0.2441168	0.1144637	0.1053545	0.0941050	0.0289136	0.0207240	0.1171062	0.0776688	0.3738018	0.1179274	0.2288397	0.2162160	-638235.188
62000	0.3994866	0.2516101	0.1529896	0.1399079	0.1280163	0.0644043	0.0374268	0.0691520	0.0504649	0.3372203	0.1646401	0.1406045	0.3072419	-638240.782
64000	0.4012699	0.2800665	0.1584161	0.1379967	0.1232114	0.0509688	0.0384973	0.0559385	0.0446971	0.2132389	0.2561225	0.1535917	0.3012774	-638238.161
66000	0.3935838	0.2495813	0.1335468	0.1194015	0.1073881	0.0450055	0.0331181	0.0777857	0.0501339	0.2618503	0.1293324	0.1180213	0.0996575	-638241.334
68000	0.4072651	0.2394542	0.1390429	0.1215091	0.1046369	0.0400863	0.0276700	0.0729840	0.0509299	0.3215480	0.1712175	0.1167289	0.1635006	-638233.387
70000	0.4013558	0.2483335	0.1373978	0.1234651	0.1059130	0.0402689	0.0305259	0.0887335	0.0520238	0.2535316	0.2143407	0.1482287	0.1339933	-638238.548
72000	0.4006016	0.2514436	0.1527109	0.1330114	0.1228798	0.0532954	0.0410791	0.0882943	0.0484910	0.2604563	0.2687670	0.1435890	0.2855343	-638235.474
