Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	0.3613520	0.2406485	0.1555850	0.1375474	0.1237553	0.0447554	0.0346297	0.0901106	0.0635332	0.2127670	0.1637386	0.1481795	0.2342658	-638237.621
1000	0.3653505	0.2509630	0.1382084	0.1305431	0.1166809	0.0499925	0.0364219	0.0802155	0.0548242	0.2309781	0.1170689	0.1234946	0.1455677	-638232.180
2000	0.4006681	0.2421734	0.1331443	0.1205744	0.1067188	0.0480769	0.0386316	0.0683096	0.0645017	0.2112893	0.1191562	0.2335017	0.0870433	-638232.939
3000	0.3873410	0.2535228	0.1300045	0.1084117	0.0972746	0.0428785	0.0295236	0.0650608	0.0524970	0.2342310	0.1206193	0.1301642	0.2713709	-638241.117
4000	0.4030277	0.2549083	0.1135779	0.1021414	0.0938241	0.0337156	0.0257996	0.0953688	0.0670396	0.2523916	0.2052923	0.1472228	0.0973120	-638240.581
5000	0.3970673	0.2419393	0.1463788	0.1313021	0.1182627	0.0476386	0.0312423	0.0735877	0.0503712	0.2735508	0.2744534	0.1090657	0.1647157	-638237.688
6000	0.3844086	0.2592055	0.1515474	0.1392692	0.1235930	0.0629718	0.0372954	0.0675212	0.0532245	0.1931104	0.1182799	0.2361516	0.2574809	-638244.887
7000	0.3954822	0.2505417	0.1526866	0.1316923	0.1189056	0.0493439	0.0375819	0.0705572	0.0514368	0.2327183	0.1272123	0.1292583	0.1630224	-638232.809
8000	0.3849235	0.2444650	0.1382734	0.1274095	0.1097131	0.0378577	0.0247393	0.0766233	0.0527055	0.2124079	0.0908385	0.2506692	0.1878520	-638243.976
9000	0.3974893	0.2454044	0.1441555	0.1313774	0.1196264	0.0429662	0.0287942	0.0799541	0.0471998	0.2341337	0.1326920	0.0788513	0.1820740	-638234.456
10000	0.4002302	0.2832066	0.1298227	0.1146072	0.1054869	0.0463483	0.0286511	0.0801055	0.0479980	0.3095363	0.1504662	0.1051264	0.2766323	-638234.302
11000	0.3653409	0.2487382	0.1457720	0.1311525	0.1188738	0.0440411	0.0296969	0.0778300	0.0581284	0.2541607	0.4169071	0.1299529	0.2443943	-638239.938
12000	0.3965685	0.2511022	0.1564793	0.1473841	0.1331890	0.0514673	0.0348335	0.0872617	0.0448706	0.2211998	0.1267515	0.1313724	0.1776504	-638237.726
13000	0.3954945	0.2511411	0.1414063	0.1235470	0.1066491	0.0622226	0.0468177	0.0611433	0.0397959	0.2014359	0.1367464	0.1888281	0.2149536	-638235.913
