Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
36000	1.0113830	0.9532954	0.9105378	0.7806053	0.5905464	0.7101737	0.0162537	0.0073736	0.1184006	0.6420312	0.5716050	0.5847785	-2128012.688
37000	0.9911476	0.9488226	0.8706380	0.7804076	0.5353152	0.6969503	0.0179081	0.0099152	0.0915103	0.6588649	0.4983765	0.8208747	-2128009.878
38000	1.1076708	0.9801066	0.8173420	0.7460747	0.5394844	0.7444433	0.0204568	0.0106453	0.0695434	0.6170398	0.6202628	0.3831879	-2128007.221
39000	1.0979958	0.9660117	0.8576928	0.8209837	0.5964552	0.7603495	0.0195716	0.0081587	0.0798318	0.4062708	0.3353201	0.3915466	-2128012.652
40000	1.0413610	0.9733819	0.8808439	0.8347547	0.6302470	0.7365172	0.0232229	0.0091614	0.1077902	0.7453940	0.3163632	0.4462632	-2128013.504
41000	1.0551554	0.9668552	0.8496488	0.7967953	0.6000327	0.7101655	0.0169235	0.0065607	0.0778919	0.6399611	0.8224111	0.3838909	-2128005.370
42000	1.0722869	0.9546659	0.9003645	0.8619354	0.6807803	0.6852590	0.0216086	0.0081084	0.1007361	0.4955075	0.5805643	0.4288319	-2128007.289
43000	1.0848093	0.9677209	0.9255379	0.9004369	0.6354945	0.7814887	0.0272855	0.0206512	0.0930328	0.6788552	0.7563837	0.3744854	-2128006.435
44000	1.0843878	0.9571601	0.9184105	0.8990036	0.6425190	0.7448139	0.0216715	0.0124307	0.1928143	0.4512864	0.3543993	0.6632261	-2128004.655
45000	1.0987156	0.9736436	0.9172541	0.8387205	0.6951697	0.7942328	0.0130896	0.0213646	0.1444387	0.2636869	0.7441033	0.9876461	-2128002.560
46000	1.0752693	0.9663373	0.9340992	0.8727943	0.6325951	0.7955320	0.0266693	0.0120303	0.1059083	0.5590792	0.2246063	0.5394524	-2128009.754
47000	1.0966905	0.9566123	0.9199016	0.8614049	0.6521449	0.6761435	0.0172684	0.0095933	0.1072282	0.5327483	0.2536637	0.6942853	-2128010.208
48000	1.0264389	0.9521936	0.8967442	0.8406890	0.6671597	0.6626259	0.0173989	0.0135001	0.1248358	0.3338698	0.4720900	0.9467793	-2128005.264
49000	1.0773364	0.9519572	0.9222806	0.8661768	0.6563151	0.6174486	0.0180052	0.0090641	0.1338808	0.4860857	0.4539480	0.7323887	-2128008.749
50000	1.0604847	0.9405396	0.8914236	0.8385830	0.5810666	0.4706116	0.0126432	0.0089632	0.0844906	0.3991763	0.3446215	0.6623440	-2128012.720
51000	1.1040178	0.9650537	0.9204425	0.8795319	0.7038199	0.5125068	0.0185464	0.0146977	0.2061711	0.3482256	0.3646279	0.6221822	-2128012.813
52000	1.0969296	0.9505034	0.9203378	0.8777065	0.7240326	0.4896967	0.0166338	0.0099284	0.2116040	0.3471532	0.4073210	0.7871018	-2128006.926
53000	1.0256652	0.9582936	0.9259563	0.8589824	0.6840232	0.6043521	0.0183628	0.0255799	0.1103134	0.3839164	1.4374978	0.6891422	-2128008.067
54000	0.9879671	0.9786280	0.9204140	0.8651028	0.7407467	0.7328491	0.0189491	0.0104531	0.1971196	0.4869594	0.3846526	0.7889819	-2128013.348
55000	1.1043781	0.9866715	0.9384703	0.8812119	0.7211824	0.6521746	0.0178468	0.0242878	0.1240211	0.3253984	1.2243431	0.5785557	-2128008.316
56000	1.0696232	0.9687806	0.9280598	0.8642832	0.7134588	0.6060327	0.0349405	0.0103043	0.1181157	1.4205223	0.4528451	0.2101447	-2128002.261
57000	1.0823368	0.9942721	0.9164372	0.8611617	0.6723319	0.4708726	0.0190389	0.0113637	0.1154098	0.3102944	0.5725712	0.4906599	-2128005.725
58000	1.0767340	1.0521646	1.0066275	0.8689132	0.5709016	0.5351263	0.0152261	0.0115834	0.0689988	0.3239163	0.7322730	0.7208336	-2128010.834
59000	1.0686479	1.0390419	0.9863494	0.8839714	0.5674308	0.5399259	0.0186572	0.0085054	0.0914370	0.2110447	0.4611868	0.2371995	-2128002.760
60000	1.0709757	1.0523956	0.9909330	0.8295417	0.5942361	0.5584587	0.0245028	0.0087836	0.0839260	0.3802284	0.5157029	0.5919004	-2128002.059
61000	1.0884799	0.9768436	0.9054005	0.8507157	0.6342229	0.5016851	0.0240310	0.0123379	0.1310377	0.6516664	0.4529337	0.9886085	-2128008.246
62000	1.0899003	0.9772073	0.9409646	0.8552787	0.5974611	0.4222988	0.0172654	0.0120398	0.1124426	0.5379385	0.4080856	0.4954082	-2128007.575
63000	1.0725217	0.9786565	0.9421294	0.8754600	0.5776548	0.5622909	0.0216872	0.0095745	0.1078051	0.4417755	0.2780875	0.7965707	-2128002.573
64000	1.0142219	0.9847496	0.9251197	0.8464847	0.6435804	0.7640756	0.0124948	0.0091708	0.0714014	0.4220899	0.5050431	0.7965229	-2128011.123
65000	1.0820971	0.9627745	0.9234049	0.8565758	0.6699798	0.6366177	0.0187396	0.0090926	0.0764117	0.7188642	0.4599489	0.5770168	-2128006.764
66000	1.0816054	0.9700059	0.9136925	0.8625808	0.6346718	0.6780199	0.0156069	0.0078967	0.0906912	0.2681096	0.2263219	0.2178328	-2128010.479
67000	1.0940068	0.9517290	0.9268621	0.8488928	0.6795724	0.6601365	0.0180286	0.0126480	0.0940301	0.3290607	1.0217896	0.4832929	-2128011.449
68000	1.0619723	0.9629766	0.9333883	0.8237952	0.6489167	0.7077059	0.0219769	0.0129986	0.0956335	0.5337720	0.3949211	0.4323323	-2128007.471
69000	1.0723566	0.9489594	0.9180289	0.8860335	0.6641567	0.6418538	0.0250581	0.0090912	0.1559331	0.7532272	0.3256559	1.1548832	-2128005.956
70000	1.0864171	0.9529878	0.9065327	0.8410284	0.6782577	0.7400488	0.0190982	0.0134927	0.0960629	0.4405754	0.6149982	0.5795612	-2128006.854
71000	1.0756905	0.9530860	0.9146384	0.8709082	0.7209810	0.7455867	0.0161102	0.0118058	0.0890176	0.4857773	0.3442461	0.6173450	-2128003.549
72000	1.0913815	0.9530472	0.9183694	0.8357870	0.6611068	0.7028339	0.0173598	0.0101643	0.1152477	0.3058854	0.5641287	0.8270969	-2128012.689
73000	1.0601574	0.9373204	0.8232913	0.7204013	0.5348703	0.6592825	0.0180592	0.0133675	0.0686020	0.5780439	0.6553322	0.4853995	-2128018.476
74000	1.0417280	0.9521645	0.8291944	0.7550065	0.6098909	0.7693299	0.0158586	0.0127508	0.1168559	0.3330256	0.4954766	0.4628975	-2128003.300
75000	1.0745971	0.9486736	0.8505787	0.7985765	0.6545631	0.7539522	0.0219055	0.0094188	0.0740006	0.7631951	0.4031184	0.3353531	-2128008.183
76000	1.0425155	0.9598449	0.8254345	0.7535171	0.6222819	0.7190046	0.0198818	0.0137880	0.1250588	0.6651744	0.7364319	0.6026940	-2128004.047
77000	1.0630050	0.9404028	0.8990221	0.8468888	0.5766664	0.6749009	0.0226894	0.0088216	0.1130567	0.3728103	0.2058021	0.3427849	-2128007.811
78000	1.1072769	0.9767857	0.8507866	0.7592956	0.4500623	0.6396031	0.0218547	0.0102951	0.0801328	0.5446193	0.6782036	0.5049120	-2128009.192
79000	1.0752243	0.9903075	0.8203530	0.7464039	0.5118420	0.7576616	0.0147776	0.0110985	0.1243074	0.3879778	0.6239271	0.6962630	-2128005.358
80000	1.0404737	0.9494949	0.8837979	0.8044458	0.5190899	0.7524600	0.0164015	0.0147820	0.1107809	0.2742305	0.4901420	0.8881544	-2128004.079
81000	0.9807922	0.9558714	0.9021868	0.8481790	0.4675432	0.6836348	0.0161692	0.0099184	0.1279575	0.5394184	0.6231732	0.3950818	-2128008.398
82000	1.0388018	0.9470557	0.8726155	0.8313740	0.5287077	0.6981623	0.0147947	0.0143424	0.0591081	0.2595510	0.5309820	0.4360398	-2128008.606
83000	1.0762632	0.9511455	0.9122912	0.8517334	0.5076727	0.6146912	0.0146081	0.0098804	0.0620928	0.7637258	0.3234949	0.3687830	-2128001.883
84000	1.0152970	0.9496594	0.9045225	0.8857080	0.5413601	0.5995811	0.0194578	0.0172878	0.1079079	0.6666800	0.7767660	0.6518877	-2128009.600
85000	1.0043039	0.9542604	0.9238234	0.8863175	0.6210493	0.6547366	0.0239343	0.0136752	0.0909239	0.4868138	0.3437006	0.4106295	-2128010.827
86000	1.0374329	0.9518474	0.9246645	0.8797282	0.4966556	0.3897361	0.0168846	0.0094407	0.1581453	0.3517116	0.9516661	0.9054570	-2128013.093
87000	0.9960768	0.9595495	0.9127303	0.8388889	0.4701563	0.4360935	0.0169305	0.0149208	0.1222352	0.7131404	0.5115969	0.5145280	-2128003.717
88000	1.0781842	0.9922549	0.9355295	0.8518249	0.5519295	0.4311961	0.0190442	0.0084226	0.0995331	0.8337014	0.4178669	0.4788794	-2128007.713
89000	1.0833881	0.9601870	0.8927609	0.8343857	0.5398441	0.4461352	0.0193941	0.0097905	0.1232353	0.4864831	0.4176651	0.4149654	-2128010.641
90000	0.9983123	0.9503067	0.9138095	0.7727279	0.5800775	0.6717311	0.0171006	0.0101098	0.0992046	0.4957675	0.5276396	0.4251537	-2128016.413
91000	1.0952873	0.9652924	0.9168017	0.7711059	0.5778250	0.6317912	0.0250257	0.0122366	0.1130693	0.6413932	0.4798194	0.4717873	-2128001.927
92000	1.0738014	0.9622766	0.8379728	0.7738826	0.5745653	0.6737229	0.0184171	0.0076444	0.1000902	0.3599485	0.2923748	0.5458092	-2128008.255
93000	1.0810811	0.9742124	0.9146548	0.8541116	0.6100212	0.7179025	0.0184993	0.0082313	0.0974970	0.5979540	0.4377326	0.5137172	-2128006.528
94000	1.0291706	0.9824479	0.9151026	0.7991760	0.5422341	0.6946193	0.0115418	0.0067690	0.0920983	0.2884455	0.6017352	0.5843539	-2128010.738
95000	1.0664497	0.9633683	0.8455623	0.7892544	0.5571514	0.7089904	0.0208326	0.0102631	0.0915152	0.5399184	0.2667409	0.5171687	-2128003.699
96000	1.0336965	0.9531549	0.8829340	0.8009738	0.5441174	0.7313528	0.0211826	0.0133486	0.0910753	0.7116912	0.7459838	0.2948093	-2128006.652
97000	1.0368843	0.9694867	0.8222225	0.7636939	0.5579046	0.6614732	0.0197450	0.0092094	0.0876744	0.5472158	0.3311427	0.3785191	-2128004.975
98000	1.0868785	0.9489406	0.8445391	0.8000539	0.6275215	0.5057368	0.0163006	0.0095660	0.0973550	0.4330179	0.4102923	0.6712120	-2128006.244
99000	1.0949371	0.9506337	0.8939528	0.8022133	0.6562865	0.6393936	0.0281617	0.0107800	0.1192062	0.5572823	0.4396926	0.4804411	-2128006.411
100000	1.0970845	0.9472428	0.8649003	0.7807569	0.6543056	0.5833802	0.0252669	0.0100290	0.1129525	0.6143084	0.3172026	0.5489049	-2128013.696
101000	1.0770548	0.9575606	0.8883026	0.8250750	0.6341343	0.5661492	0.0191739	0.0091402	0.1545117	0.5150479	0.2172536	0.5881886	-2128011.308
102000	1.0678217	0.9723662	0.9401494	0.8454929	0.5639021	0.6754521	0.0175885	0.0090579	0.0919514	0.3189746	0.5016385	0.4185476	-2128010.698
103000	1.0833662	0.9871993	0.9373786	0.8956107	0.6595928	0.7524032	0.0132535	0.0173914	0.0912053	0.4559334	0.6446931	0.2207297	-2128009.526
104000	0.9840010	0.9697739	0.9412853	0.8543006	0.6884052	0.7341495	0.0173936	0.0116769	0.0927769	0.2400167	0.3921566	0.3366028	-2128010.352
105000	1.0902084	0.9577374	0.8904215	0.7848440	0.5822647	0.7152755	0.0207674	0.0096978	0.0698942	0.3325108	0.3033826	0.5003272	-2128005.538
106000	1.0537567	0.9495688	0.8915112	0.7962300	0.5459022	0.6460029	0.0249125	0.0110694	0.0978517	0.4828630	0.5342705	0.3869500	-2128006.261
107000	1.1047726	0.9845035	0.9384838	0.8797040	0.5869530	0.7457691	0.0134280	0.0129397	0.0723017	0.4789264	0.7168917	0.4984651	-2128007.811
108000	1.0619615	0.9846903	0.9207983	0.8754537	0.5425611	0.8137421	0.0258511	0.0150527	0.1132093	0.4673690	0.5508054	0.4021123	-2128004.409
109000	1.0966603	0.9765373	0.9249000	0.8535106	0.5239342	0.8072984	0.0278010	0.0146703	0.0794138	0.8670775	0.5555750	0.3345216	-2128007.901
110000	1.0440377	0.9607606	0.8017781	0.7638847	0.4475584	0.8274999	0.0144211	0.0119108	0.1157070	0.7236713	0.6925765	0.3519097	-2128004.844
111000	1.0593546	0.9585130	0.8148210	0.7437490	0.5334398	0.8621110	0.0175314	0.0100919	0.0892835	0.5123919	0.6302968	0.5329688	-2128011.603
112000	1.0393702	0.9987176	0.8797169	0.8122892	0.4874565	0.8301251	0.0164023	0.0093578	0.0968925	0.9968217	0.3362747	0.8250161	-2128009.018
113000	1.0207957	0.9590994	0.8533137	0.7981908	0.4814928	0.7725500	0.0153239	0.0117061	0.1246273	0.3257350	0.4490803	0.4296844	-2128000.576
114000	1.0300013	0.9672101	0.9266454	0.8630379	0.4646945	0.6845735	0.0140258	0.0108783	0.0790212	0.4625380	0.5192607	0.8271840	-2128009.832
115000	1.0443496	0.9670424	0.9286288	0.8616104	0.5271852	0.7408511	0.0183121	0.0103658	0.0894710	0.8066091	0.6284124	0.3836555	-2128011.336
116000	1.0814797	0.9769838	0.9386879	0.9041504	0.6705257	0.7025169	0.0177498	0.0100145	0.0843763	0.5553061	0.2947825	0.3617321	-2127998.815
117000	1.0448420	0.9962713	0.9457559	0.8879409	0.6840320	0.8242526	0.0215032	0.0130336	0.0832149	0.2392277	0.4370094	0.3121940	-2128002.715
118000	1.0671802	0.9989527	0.9309912	0.8893680	0.6601414	0.7623103	0.0145650	0.0121540	0.0811187	0.3988109	0.6321724	0.6105927	-2128008.997
119000	1.0792591	0.9862327	0.9004980	0.8272914	0.5460289	0.6183294	0.0164716	0.0098543	0.1007710	0.2143237	0.4204889	0.4930800	-2128002.282
120000	1.1002979	1.0212652	0.9460412	0.8412895	0.5608091	0.6166400	0.0131146	0.0073788	0.1037198	0.6022567	0.3364424	0.4976363	-2128003.758
121000	1.0328802	0.9984410	0.9194080	0.8740915	0.5340237	0.5862706	0.0218306	0.0072292	0.0696866	0.4264591	0.3667170	0.2807539	-2128006.072
122000	1.0118016	1.0000724	0.9003940	0.8410215	0.6014769	0.6984030	0.0167189	0.0125160	0.0870154	0.4115726	0.4584222	0.4536580	-2128004.704
123000	1.0792111	0.9521167	0.8491581	0.7730888	0.5340736	0.6418901	0.0155522	0.0086514	0.1369815	0.2908198	0.4950031	0.7475639	-2128009.001
124000	1.0371186	0.9475834	0.8526499	0.7130171	0.5493254	0.5554374	0.0204365	0.0089258	0.1632948	0.4566938	0.5498821	0.8274505	-2128007.491
125000	1.0917086	0.9666130	0.7895491	0.7034403	0.6104381	0.7569762	0.0425866	0.0095407	0.1973376	1.3938366	0.5259444	1.1339651	-2128011.951
126000	1.0092004	0.9479492	0.8302857	0.7638707	0.6329042	0.7418652	0.0185007	0.0097629	0.0953111	0.7302793	0.4205475	0.4503001	-2127998.835
127000	0.9757368	0.9461796	0.8180472	0.7469429	0.6177136	0.7156340	0.0302433	0.0095229	0.0752802	0.5946503	0.4468120	0.4786606	-2128012.486
128000	0.9819576	0.9553241	0.8694066	0.7966667	0.6033727	0.7461699	0.0249281	0.0157359	0.0984914	0.6622870	0.5934208	0.5903821	-2128004.846
129000	1.0836750	0.9608149	0.8930143	0.8370717	0.5660586	0.7525022	0.0231107	0.0088937	0.0893415	0.2831903	0.4387792	0.5436959	-2128006.446
130000	1.0869163	0.9606126	0.9047360	0.8438872	0.5816226	0.6810536	0.0209739	0.0103160	0.1137845	0.3304443	0.4279049	0.4423583	-2128007.560
131000	1.0683705	0.9749258	0.9360081	0.8903070	0.6446606	0.6985191	0.0202508	0.0110064	0.0990633	0.4045367	0.3963850	0.5065131	-2128003.590
132000	1.0823022	1.0040619	0.9771620	0.8716782	0.6907323	0.6082795	0.0181307	0.0131320	0.0902639	0.5286257	0.2585480	0.3675924	-2128003.601
133000	1.0983797	1.0071161	0.9272668	0.8605475	0.7104356	0.5939707	0.0139854	0.0140208	0.0909408	0.2368302	0.3782362	0.4224641	-2128005.882
134000	1.0910997	0.9710121	0.9325765	0.8750779	0.7544903	0.7527871	0.0278954	0.0096012	0.0962264	0.7106421	0.2186481	0.6738421	-2128005.069
135000	1.0845213	0.9788696	0.9132459	0.8614294	0.7729131	0.7792204	0.0263928	0.0115685	0.0925963	0.5798171	0.4018490	0.5680185	-2128010.234
136000	1.0991866	0.9842317	0.9033118	0.8487140	0.7286699	0.7925053	0.0238692	0.0137450	0.0806003	0.4406716	0.3794850	0.5368309	-2128004.215
137000	1.0409930	0.9924138	0.9350429	0.9031675	0.8105132	0.6532969	0.0201749	0.0168194	0.1011002	0.6633430	0.7184879	0.4004081	-2128006.173
138000	1.0219134	0.9659559	0.9245531	0.9003416	0.7719308	0.6410410	0.0215622	0.0164524	0.0791144	0.5719501	0.7942135	0.4769601	-2128011.418
139000	1.0794990	0.9987641	0.9579038	0.9169442	0.7131238	0.6787860	0.0172032	0.0094235	0.0854795	0.2064350	0.3384475	0.3903348	-2128012.446
140000	1.0963261	0.9977935	0.9578231	0.8976541	0.6827035	0.6819249	0.0159416	0.0099445	0.0998978	0.6527578	0.4110109	0.3785306	-2128006.049
141000	1.0420561	0.9794678	0.9345727	0.9057889	0.7051426	0.5829830	0.0208795	0.0135878	0.1033394	0.5311840	0.8032201	0.5381121	-2128007.672
142000	1.0774518	0.9693675	0.9315531	0.8592030	0.7685439	0.6880280	0.0406181	0.0142973	0.1588973	0.6424774	0.6724654	0.9133611	-2128001.150
143000	1.0057134	0.9997279	0.9476338	0.8808446	0.7784621	0.7556541	0.0130955	0.0101903	0.1011871	0.3883328	0.2542282	0.4765169	-2128002.254
144000	1.1011859	0.9939009	0.9385410	0.8679872	0.7269091	0.7301611	0.0191859	0.0100230	0.0831529	0.4975887	0.5502432	0.5091463	-2128005.385
145000	1.0131738	1.0035304	0.9252776	0.8509992	0.7013962	0.7943716	0.0151202	0.0075059	0.1325954	0.4187080	0.5344575	1.0300221	-2128014.248
146000	1.0416125	0.9896694	0.9308476	0.8722580	0.7666652	0.5484417	0.0172381	0.0092779	0.1050453	0.5567903	0.3605112	0.5268528	-2128002.804
147000	1.0581304	0.9784116	0.9280117	0.8807682	0.7643412	0.5456748	0.0182088	0.0092407	0.0909917	0.3601513	0.3891214	0.5340574	-2128005.791
148000	1.0968744	0.9514550	0.9243950	0.8914879	0.6908158	0.6969683	0.0194236	0.0114913	0.1191910	0.3055151	0.1615671	0.5576535	-2128007.837
149000	1.0520440	0.9899347	0.8970517	0.8520039	0.6249455	0.6206050	0.0175570	0.0118399	0.1076381	0.5292555	0.5247921	0.5577829	-2128002.632
150000	1.0049783	0.9761542	0.8472254	0.7652504	0.5450456	0.5769291	0.0130919	0.0119139	0.1169423	0.7451092	0.8704520	0.7173321	-2128013.782
151000	1.0723332	0.9498833	0.8875959	0.7601296	0.5902034	0.4846221	0.0201643	0.0158721	0.1110110	0.4722010	0.5325905	0.4920183	-2128008.580
152000	1.1099859	0.9678699	0.8941221	0.8264412	0.7097668	0.4474488	0.0287139	0.0100685	0.1631006	0.5958892	0.3643567	0.5804805	-2128009.279
153000	0.9800080	0.9544229	0.8728627	0.8017659	0.6649371	0.5203884	0.0218235	0.0101234	0.1038218	0.6125468	0.4576663	0.3435940	-2128005.093
154000	0.9863694	0.9814378	0.9037379	0.8230943	0.6346197	0.7252680	0.0171730	0.0109753	0.0998851	0.3895339	0.3682910	0.3618579	-2128008.668
155000	1.0953532	0.9667915	0.8963976	0.8434183	0.7164252	0.7983730	0.0157048	0.0091767	0.1396187	0.6064663	0.4589936	0.5377915	-2128011.372
156000	1.0132021	0.9791592	0.9207262	0.8260330	0.6600032	0.7614215	0.0279685	0.0101223	0.0977081	0.9505464	0.3037735	0.4156871	-2128006.537
157000	1.0804599	0.9713521	0.8877515	0.8583299	0.6355824	0.7691559	0.0190136	0.0105573	0.1267384	0.3402233	0.4976147	0.6813098	-2128015.156
158000	1.1071929	0.9678096	0.9238757	0.8461961	0.6416359	0.6969361	0.0169638	0.0112597	0.1024333	0.4109067	0.3551432	0.4399357	-2128009.985
159000	1.0220272	0.9672829	0.9236895	0.8580099	0.6420027	0.5916741	0.0184705	0.0077955	0.1179865	0.3978865	0.5933891	0.5557182	-2128004.628
160000	0.9874812	0.9571976	0.9105968	0.8561067	0.6198824	0.6263775	0.0143612	0.0107455	0.1261180	0.5039823	0.3203753	0.3879609	-2128000.576
161000	1.0475970	1.0133787	0.9479459	0.8196680	0.6204354	0.7014137	0.0196707	0.0121917	0.1365612	0.8081171	0.6888758	0.4740133	-2128009.690
162000	1.0903051	0.9713356	0.9110702	0.8137429	0.5609108	0.5869040	0.0245985	0.0087477	0.1289236	0.4323230	0.3158837	0.4555182	-2128019.782
163000	1.0635334	0.9659044	0.8598956	0.7098106	0.4867294	0.5007129	0.0158080	0.0070858	0.0883743	0.7822744	0.3466904	0.6114084	-2128006.627
164000	1.0668066	0.9598547	0.7949842	0.7374238	0.5185691	0.6748876	0.0157003	0.0119612	0.1516793	0.5689236	0.5060724	0.6805358	-2128000.861
165000	1.0531721	0.9789837	0.8481792	0.7751143	0.5676150	0.6401490	0.0144640	0.0126578	0.1653426	0.2890403	0.6097726	0.7986323	-2128006.505
166000	1.0240117	0.9582001	0.8866860	0.7960778	0.4243029	0.7838850	0.0174641	0.0073249	0.1007913	0.4159953	0.7583592	0.4771910	-2128003.694
167000	1.0486187	0.9974528	0.8965917	0.7872070	0.4593142	0.8071550	0.0141334	0.0108793	0.1307929	0.8602163	0.4615215	0.6970983	-2128003.835
168000	1.0812567	0.9651257	0.8774136	0.6810366	0.4886878	0.6622556	0.0305941	0.0085748	0.0641322	0.5999786	1.1687054	0.4223105	-2128011.075
