Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	1.0865184	0.9879393	0.6930026	0.6491930	0.4895345	0.2353045	0.0222235	0.0178609	0.1393324	0.6731988	0.4886599	0.8815631	-2128003.685
1000	1.0975825	0.9519902	0.7809692	0.7281358	0.5415870	0.2940532	0.0140121	0.0120054	0.1105106	0.3708642	0.5333061	0.7209200	-2128010.447
2000	1.0503193	0.9652915	0.7463776	0.6909641	0.5164005	0.3796589	0.0139889	0.0143681	0.1231196	0.3645341	0.5960014	0.8561891	-2128007.968
3000	1.0153337	0.9717084	0.7180469	0.6955170	0.4806267	0.4044159	0.0174330	0.0178276	0.1182155	0.6502149	0.8133538	0.5003958	-2128011.689
4000	0.9845358	0.9597314	0.7164426	0.6961312	0.4095933	0.4446417	0.0203330	0.0198623	0.0975600	0.6776683	0.6423098	0.4956424	-2128010.798
5000	1.0639349	0.9548402	0.7887753	0.7035988	0.4771638	0.4591387	0.0373469	0.0086617	0.1656078	0.6325514	0.3133600	1.0037239	-2128014.932
6000	0.9733180	0.9591892	0.8298853	0.7073841	0.3853239	0.6104222	0.0254779	0.0086212	0.1086040	0.6372852	0.8010926	0.9392136	-2128008.203
7000	0.9923348	0.9693972	0.8014445	0.7428079	0.4570481	0.6907177	0.0182384	0.0126532	0.1222097	0.7128021	0.9756675	0.7572934	-2128006.423
8000	1.0950435	1.0167888	0.9220386	0.8505702	0.5159712	0.6474182	0.0205625	0.0130400	0.1206191	0.2823053	0.4659752	0.5818268	-2128007.680
9000	1.0893440	0.9961692	0.8910850	0.8141748	0.5778796	0.6573680	0.0152557	0.0130900	0.1379788	0.3347344	0.4998485	0.8835616	-2128009.553
10000	1.0743859	0.9868634	0.9232273	0.8440350	0.4993705	0.6096353	0.0273230	0.0077645	0.1590639	0.6244324	0.4208362	0.6840710	-2128009.640
11000	1.0942812	0.9753104	0.9353125	0.8555664	0.5156286	0.6395367	0.0164192	0.0097333	0.1087531	0.2941633	0.5780819	0.7947034	-2128003.634
12000	1.0717253	0.9447338	0.9215213	0.8445929	0.6126944	0.7577330	0.0418704	0.0171616	0.1223904	1.0015151	0.4662554	0.7357413	-2128010.195
13000	1.0585756	0.9470091	0.8871351	0.7901564	0.6749908	0.7075973	0.0166425	0.0144543	0.0979666	0.3012314	0.5581221	0.3045514	-2128008.305
14000	1.0903742	0.9578302	0.8978126	0.8075183	0.5877121	0.7770081	0.0205149	0.0089239	0.1131289	0.4743970	0.3617060	0.3171936	-2128004.848
15000	1.0397854	0.9487919	0.8954609	0.8579298	0.6448794	0.7584290	0.0187812	0.0088645	0.0902514	0.3314284	0.2970716	0.6482535	-2128011.803
16000	1.0462418	1.0182954	0.9309929	0.8827926	0.6127115	0.8763568	0.0223850	0.0172776	0.0697323	0.6584205	0.7621862	0.4503105	-2128011.353
17000	1.0773252	0.9792523	0.9234464	0.8764738	0.6519417	0.8429530	0.0130306	0.0125004	0.1181613	0.2819710	0.5180516	0.5454428	-2128007.248
18000	1.0262051	1.0027424	0.9397805	0.8442604	0.5959312	0.7467100	0.0170620	0.0105949	0.0944864	0.4512472	0.3638591	0.5326286	-2128010.075
19000	1.0878504	0.9604892	0.8997079	0.8577428	0.5950791	0.5677115	0.0215945	0.0094799	0.0827677	0.4976788	0.4338087	0.3028535	-2128008.106
20000	1.0975725	0.9778884	0.8953193	0.8505690	0.5855039	0.6960095	0.0150886	0.0107197	0.0862132	0.4972356	0.3618942	0.3991883	-2128010.603
21000	1.0880027	0.9835193	0.9356425	0.8820883	0.6789886	0.6910919	0.0230783	0.0091649	0.0838574	0.5638793	0.6853189	0.5828962	-2128010.312
22000	1.0842752	0.9688804	0.9325154	0.8471708	0.7321677	0.5952425	0.0244088	0.0079208	0.1237491	0.7443701	0.3900306	0.4819195	-2128006.322
23000	0.9996400	0.9692469	0.9350255	0.8877989	0.6221131	0.5385146	0.0225460	0.0135273	0.1107634	0.7011991	0.4626861	0.3857617	-2128008.103
24000	1.0720684	0.9739163	0.9232096	0.8853205	0.5975505	0.3898266	0.0146622	0.0096829	0.1022049	0.4002101	0.4582384	0.3029183	-2128001.364
25000	1.0699971	0.9451512	0.9082194	0.8651962	0.7323223	0.3559839	0.0186980	0.0134687	0.0679874	0.6529976	0.3355235	0.3761163	-2128002.643
26000	1.0284249	0.9970046	0.8964031	0.8665558	0.7278958	0.4808768	0.0195573	0.0136886	0.0809891	0.5655789	0.5748187	0.4549042	-2128005.932
27000	1.0070555	0.9530908	0.9096506	0.8750152	0.7534443	0.5828905	0.0414488	0.0166235	0.0946813	1.1553342	0.6070158	0.3763313	-2128007.409
28000	1.0596842	0.9964003	0.8887400	0.8406922	0.7004894	0.7171548	0.0234362	0.0143721	0.0798977	0.8120417	0.2442188	0.3882553	-2128011.998
29000	1.0914804	0.9535261	0.8659831	0.8025593	0.6501368	0.6899159	0.0239239	0.0102152	0.0786609	0.7585128	0.2602501	0.5795111	-2128005.389
30000	1.0515904	0.9708264	0.9090546	0.8245980	0.5820057	0.5870479	0.0170686	0.0118279	0.0827932	0.1906809	0.3311341	0.5157857	-2128005.247
31000	1.0827323	0.9594346	0.8879178	0.7923762	0.6006512	0.5870400	0.0163824	0.0115682	0.0904511	0.3204971	0.3305065	0.3514294	-2128000.218
32000	1.0418604	0.9441000	0.8629744	0.7844836	0.5335541	0.5786056	0.0182778	0.0146066	0.0690409	0.5184339	0.4360805	0.4717701	-2128014.914
33000	0.9874149	0.9594223	0.8994880	0.7963189	0.5747342	0.5372983	0.0211213	0.0113846	0.1058673	0.2667430	0.4258702	0.5690222	-2128007.127
34000	0.9929915	0.9726869	0.8871106	0.8033504	0.6122112	0.5606546	0.0201865	0.0125666	0.1291718	0.6729882	0.6703671	0.8542845	-2128009.293
35000	1.0107757	0.9995183	0.8960008	0.8342995	0.5027294	0.4894175	0.0187997	0.0086729	0.1126010	0.5341363	0.3423488	0.4626512	-2128012.863
