Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
38000	1.0501223	0.9983120	0.9521286	0.9021731	0.6994124	0.4490254	0.0230961	0.0093752	0.1080863	0.7199245	0.3786410	0.4822928	-2128006.918
39000	1.0905494	0.9837437	0.9555957	0.8896334	0.6442082	0.4893116	0.0204033	0.0171965	0.1501539	0.4889072	0.6842197	0.5531823	-2128004.707
40000	1.0958613	1.0072084	0.9562411	0.9150887	0.6590586	0.7055612	0.0169510	0.0210127	0.0899593	0.4070915	0.7903142	0.6772420	-2128011.421
41000	1.0750548	1.0280665	0.9655427	0.9365157	0.6985966	0.6547735	0.0197974	0.0083235	0.1042628	0.2039163	0.3683102	0.6298917	-2128011.553
42000	1.0162960	1.0126443	0.9758479	0.9154785	0.7261275	0.6210112	0.0326777	0.0083636	0.0972749	1.2296879	0.4420888	0.9245596	-2128007.291
43000	1.0713477	1.0186242	0.9514511	0.8971451	0.7113338	0.7897040	0.0207300	0.0071898	0.0832731	0.5092766	0.4526836	0.5193873	-2128011.459
44000	1.0789297	0.9865299	0.9516735	0.8874636	0.6363950	0.7667454	0.0177855	0.0103588	0.1104117	0.2531786	0.2680641	0.3546058	-2128007.304
45000	1.0345578	1.0050762	0.9702326	0.8407304	0.5812927	0.6581737	0.0149517	0.0104420	0.0810251	0.4779763	0.5223964	0.6781637	-2128004.263
46000	1.0843785	0.9860339	0.9618987	0.7552571	0.6028623	0.7702221	0.0229159	0.0109496	0.0876393	0.5912330	0.3695784	0.4333804	-2128002.146
47000	1.0921245	0.9709786	0.9153733	0.8352106	0.5336092	0.7336576	0.0223707	0.0081580	0.0839770	0.5406168	0.2810913	0.2870186	-2128011.897
48000	1.0347251	0.9507713	0.8742007	0.8122196	0.5835929	0.6068307	0.0161348	0.0155141	0.1114373	0.3104854	0.8121801	0.7612984	-2128001.600
49000	1.0484287	0.9526922	0.8962605	0.8263125	0.5924049	0.7212008	0.0227747	0.0113471	0.1246806	0.4038659	0.5915607	0.4917210	-2128008.778
50000	0.9885606	0.9704797	0.9131112	0.8324758	0.5993431	0.7134038	0.0136274	0.0106778	0.0807309	0.4617754	0.3317910	0.6465973	-2128006.934
51000	1.0127251	0.9678103	0.9033079	0.8518403	0.5520225	0.6777702	0.0226056	0.0111108	0.0797598	0.7538678	0.6421727	0.4260225	-2128005.093
52000	1.0830458	1.0194449	0.9362400	0.8343570	0.5147240	0.7372860	0.0183716	0.0119991	0.1561898	0.5278235	0.5214568	1.2167936	-2128004.234
53000	1.0829680	0.9615690	0.9056819	0.8545556	0.5163752	0.8095791	0.0205245	0.0142450	0.0857827	0.5020710	0.3519646	0.6652650	-2128006.643
54000	1.0785171	0.9500068	0.9014314	0.8113801	0.4753563	0.7957326	0.0136793	0.0115926	0.1107671	0.2693649	0.5097427	0.5035259	-2128011.193
55000	1.0663286	0.9566225	0.8555035	0.8159348	0.5092377	0.8313822	0.0193106	0.0121769	0.0838606	0.5798811	0.4212381	0.3708727	-2128002.689
56000	1.0886924	0.9616565	0.8715789	0.7722182	0.4515676	0.6841301	0.0125755	0.0100472	0.0661661	0.4970041	0.3895563	0.3897773	-2128004.388
57000	1.0688065	0.9519433	0.8033706	0.7392302	0.5267939	0.7570941	0.0186656	0.0120288	0.1280409	0.4892870	0.3868686	0.8144952	-2128001.385
58000	1.0728161	0.9640958	0.8116653	0.7207642	0.5722038	0.7892256	0.0339470	0.0106733	0.1006905	1.1620105	0.4811433	0.4481949	-2128003.680
59000	1.0905856	0.9501631	0.8456195	0.7627183	0.6067343	0.6887916	0.0203929	0.0097041	0.1116994	0.5349607	0.2555907	0.6317793	-2128012.660
60000	1.0640377	1.0165567	0.8452227	0.7991155	0.5788867	0.7135204	0.0198658	0.0151761	0.0910136	0.3594287	0.5299074	0.3748030	-2128008.047
61000	1.1000614	0.9471081	0.8680210	0.7865321	0.6115032	0.6604363	0.0199747	0.0123677	0.1238284	0.3659366	0.3523503	0.5317270	-2128013.612
62000	1.0878425	1.0144387	0.9250994	0.8684646	0.6313722	0.6563387	0.0216327	0.0122750	0.1107840	0.2368890	0.3775686	0.7421552	-2128011.363
63000	1.0921078	1.0077689	0.9146992	0.8781270	0.6065472	0.7087812	0.0147009	0.0107880	0.0819060	0.2571294	0.8247148	0.5391129	-2128012.448
64000	1.0743704	0.9453111	0.9032538	0.8838243	0.5315469	0.7097665	0.0260454	0.0114100	0.1333162	0.4754407	0.4117590	0.5901584	-2128007.159
65000	1.0902775	0.9834993	0.9017060	0.8763550	0.6237157	0.6713323	0.0148388	0.0146982	0.0961685	0.3106602	0.8325003	0.6540389	-2128006.826
66000	1.0749347	0.9921631	0.9048223	0.8751406	0.6183599	0.5502969	0.0168749	0.0086343	0.0785211	0.3061385	0.7443310	0.3879235	-2128009.475
67000	1.0939494	0.9600843	0.9121498	0.8718923	0.6071813	0.7102711	0.0127878	0.0172834	0.1073839	0.2617619	0.7983447	0.2676000	-2128005.415
68000	1.0802119	0.9929262	0.9124761	0.8533066	0.5191486	0.6233416	0.0189725	0.0130465	0.0870363	0.7665941	0.8551929	0.3708732	-2128004.205
69000	1.0436296	1.0165319	0.9699137	0.8551534	0.4525433	0.8035155	0.0190738	0.0152885	0.1076705	0.7800535	1.0138247	0.5074854	-2128009.295
70000	1.0606197	1.0487121	0.9953640	0.8016126	0.5054528	0.8691697	0.0255068	0.0089220	0.1872839	1.1299005	0.3107541	1.1959216	-2128006.850
71000	0.9954382	0.9899092	0.9529941	0.8153462	0.6293334	0.7630233	0.0222756	0.0152358	0.0874752	1.0723399	0.5232732	0.4176326	-2128005.858
72000	1.0332554	0.9652799	0.9140806	0.8187501	0.6793723	0.6908192	0.0166714	0.0109537	0.1078720	0.4194541	0.3673876	0.4959586	-2128012.236
73000	1.0456698	0.9513595	0.8902272	0.8470754	0.7435160	0.6409428	0.0164283	0.0133251	0.1220267	0.5008146	0.3950614	0.4886994	-2128008.280
74000	0.9685076	0.9612705	0.9024568	0.8366669	0.7209011	0.5254214	0.0166981	0.0116865	0.1304747	0.3991312	0.3984791	0.4718706	-2128001.500
75000	0.9787010	0.9564577	0.8818282	0.8246324	0.6018899	0.4938242	0.0432155	0.0129512	0.1158517	0.8831161	0.4937370	0.3243371	-2128006.637
76000	1.0254602	0.9630294	0.8711443	0.7784315	0.6213482	0.5197752	0.0166560	0.0103364	0.0824512	0.5616533	0.3843317	0.3358486	-2128007.636
77000	1.0486865	1.0109671	0.8955695	0.7926520	0.6100589	0.5232089	0.0178716	0.0171788	0.1187015	0.5705922	0.6075375	1.2407169	-2128005.297
78000	1.0389871	0.9451953	0.8600937	0.8078321	0.6237825	0.6075024	0.0163452	0.0138636	0.1063651	0.2878287	0.2752010	0.2389274	-2128009.916
79000	1.0180854	0.9557276	0.8705421	0.8027989	0.6837170	0.6038174	0.0159829	0.0213792	0.0781711	0.4692740	0.8451230	0.5474740	-2128007.075
80000	1.0546923	0.9451369	0.8386239	0.7399433	0.6069824	0.6325921	0.0255401	0.0102131	0.1001744	0.4621919	0.4481078	0.6441757	-2128002.142
81000	1.0240382	0.9521855	0.8431715	0.7334244	0.5922851	0.5296210	0.0187856	0.0099163	0.1075124	0.4516212	0.7864316	0.4475532	-2128012.435
82000	1.0868264	0.9840927	0.8975372	0.7679364	0.5490884	0.4368814	0.0214334	0.0146697	0.0929818	0.5002550	0.4231171	0.7403097	-2127998.384
83000	1.0220410	0.9451293	0.8283102	0.7461506	0.5617277	0.5619624	0.0214535	0.0133626	0.1057946	0.4505351	0.5385905	0.4640666	-2128009.175
84000	1.0850013	0.9709406	0.8371669	0.7726733	0.5445911	0.5407825	0.0160776	0.0108583	0.0824126	0.3934369	0.4009591	0.6315365	-2128008.920
85000	1.0961746	0.9575500	0.8348757	0.7411302	0.5436354	0.5854386	0.0266476	0.0092541	0.0994817	0.6255101	0.4052809	0.3806479	-2128009.664
86000	1.0970098	0.9500947	0.8743769	0.8339634	0.5589854	0.5794810	0.0485100	0.0118616	0.1485849	0.9951120	0.5341376	0.7759914	-2128003.658
87000	1.0849946	0.9474878	0.8767341	0.8181175	0.5666057	0.6043167	0.0164764	0.0124427	0.1058442	0.3537516	0.5239188	0.6815140	-2128011.789
88000	1.0813387	0.9595690	0.8960116	0.8377868	0.5916979	0.7250615	0.0171079	0.0109969	0.0870305	0.2870559	0.5015304	0.3947717	-2128011.662
89000	1.0080132	0.9598789	0.8749800	0.7853822	0.6176223	0.7512764	0.0149570	0.0154312	0.1244847	0.2340799	0.3961607	0.4292511	-2128008.422
90000	1.0161534	0.9683372	0.9072355	0.8092551	0.4515616	0.7907437	0.0259045	0.0101260	0.1252498	0.5050977	0.5183719	0.3570892	-2128000.266
91000	1.0706453	0.9478642	0.8932741	0.7828493	0.5531410	0.7993189	0.0178781	0.0119242	0.0963884	0.5264736	0.5649463	0.4278857	-2128003.928
92000	1.0662864	0.9695184	0.8807817	0.8222760	0.5338291	0.8513751	0.0191355	0.0090894	0.1136301	0.7250294	0.4933252	0.3510676	-2128004.365
93000	1.0572535	0.9505360	0.8790731	0.8195963	0.5817414	0.8121238	0.0207702	0.0079020	0.1194442	0.3462021	0.2872072	0.4126604	-2128001.981
94000	1.0054673	0.9808452	0.8964365	0.8167359	0.4822785	0.7549013	0.0172559	0.0092935	0.1007762	0.2224146	0.3454071	0.6002969	-2128008.898
95000	1.0177801	0.9632304	0.9142049	0.8114154	0.5314435	0.6819083	0.0197420	0.0099402	0.0804342	0.4781775	0.4031297	0.5695300	-2128009.187
96000	1.0955300	0.9802999	0.9132946	0.8720155	0.4352681	0.6818498	0.0117115	0.0089573	0.0819354	0.4848400	0.2783612	0.4238426	-2128003.343
97000	1.0555098	1.0353722	0.9360352	0.8637741	0.4676646	0.5864365	0.0186555	0.0092385	0.1137613	0.5923748	0.4809360	0.7794469	-2128006.792
98000	1.0644270	1.0493638	0.9729082	0.8582668	0.5754524	0.5532424	0.0135376	0.0091314	0.0581742	0.5531277	0.2710025	0.3751915	-2128011.207
99000	1.0841375	0.9653255	0.9242516	0.8361640	0.5840985	0.5843741	0.0150938	0.0138112	0.1095283	0.8547925	0.4952904	0.3054604	-2128010.015
100000	1.0594763	0.9706955	0.9255988	0.8506446	0.6395038	0.6300649	0.0202798	0.0143571	0.0987976	0.3146451	0.5108148	0.3447757	-2128006.912
101000	1.0491925	0.9704579	0.9354048	0.8782314	0.6638293	0.5438971	0.0212450	0.0156124	0.0898089	0.6482355	0.7111146	0.2700074	-2128003.443
102000	1.0594257	0.9722698	0.9433421	0.8908718	0.6383639	0.5875244	0.0132306	0.0118251	0.1435708	0.5794288	0.5834558	0.6235512	-2128007.295
103000	1.0845617	1.0069451	0.9538446	0.8702144	0.7164621	0.5504722	0.0179273	0.0074341	0.1099852	0.5754099	0.2375177	0.5118773	-2128005.922
104000	1.0935604	0.9895139	0.9491917	0.8912884	0.6550723	0.4974981	0.0201644	0.0101308	0.0977096	0.3406708	0.4379363	1.0255824	-2128009.730
105000	1.0822268	0.9539341	0.9166388	0.8453766	0.6094625	0.4463199	0.0268610	0.0143350	0.1053293	0.4709203	0.6824158	0.5848955	-2128003.683
106000	1.0229903	0.9715179	0.9253704	0.8455067	0.5780518	0.5340252	0.0148468	0.0075468	0.1104293	0.3523201	0.2908289	0.5410395	-2128012.116
107000	1.0448514	0.9546104	0.9128705	0.8135582	0.6323895	0.5193342	0.0165800	0.0137234	0.1197663	0.6628973	0.7832989	0.3651895	-2128008.457
108000	1.0977779	0.9800682	0.9282016	0.8440036	0.6717897	0.5317096	0.0146287	0.0134199	0.1195462	0.3007956	0.4295210	0.4039422	-2128006.459
109000	1.0911033	0.9953847	0.9283527	0.8585055	0.6627595	0.7069537	0.0197154	0.0101976	0.1326525	0.3839265	0.5953966	0.9226515	-2128008.428
110000	1.1124084	1.0110750	0.9304368	0.7953463	0.6480251	0.6383890	0.0209410	0.0132587	0.1020024	0.5125321	0.8289984	0.4074481	-2128003.983
111000	1.0997327	0.9903854	0.9355477	0.8177508	0.6689774	0.6528979	0.0146055	0.0119870	0.0929187	0.5632666	0.3400000	0.3759565	-2128006.649
112000	1.0975453	0.9659785	0.9399112	0.8992835	0.5802892	0.6776999	0.0354317	0.0102426	0.1260213	0.5654305	0.3903370	0.8243386	-2128013.879
113000	1.0803470	0.9611964	0.9249286	0.8711255	0.6249922	0.6655643	0.0223763	0.0195324	0.0813030	0.5363932	0.6206297	0.4951556	-2128005.974
114000	1.0809083	0.9829805	0.9398507	0.8972175	0.6721312	0.7378728	0.0154813	0.0192798	0.0818149	0.4402540	0.7631832	0.3948099	-2128013.265
115000	1.0774694	1.0121384	0.9372937	0.8612171	0.5916714	0.7334914	0.0230759	0.0089127	0.0882320	0.3067111	0.6541731	0.3924912	-2128005.876
116000	1.0982204	0.9540244	0.9016354	0.8464085	0.5630490	0.7417473	0.0235771	0.0080842	0.0941079	0.3885155	0.3947781	0.3338096	-2128008.965
117000	1.0237197	0.9524399	0.8914722	0.8156858	0.5872130	0.5803286	0.0210298	0.0110806	0.1027611	0.3088656	0.2492966	0.3480428	-2128010.307
118000	1.1016815	0.9772793	0.9518850	0.8292761	0.6582568	0.6284098	0.0230251	0.0157526	0.0933994	0.2790217	0.7092145	0.2409615	-2128008.090
119000	1.0424088	0.9662032	0.9323360	0.8743709	0.7249055	0.8044855	0.0216656	0.0134249	0.0995973	0.4707574	0.5357624	0.4274004	-2128016.402
120000	1.0954903	0.9901931	0.9481840	0.8855885	0.6294980	0.6906923	0.0122477	0.0229557	0.1034748	0.4554945	0.4691840	0.4861181	-2128009.929
121000	1.0224454	1.0012216	0.9383627	0.8598556	0.7066288	0.6929816	0.0209152	0.0098638	0.0648256	0.3720052	0.4800863	0.9707785	-2128007.378
122000	1.0869183	0.9976213	0.9455621	0.8457229	0.7202017	0.7986342	0.0175467	0.0109625	0.1248851	0.8376588	0.7241535	0.4771493	-2128006.557
123000	1.0997670	1.0048774	0.9102240	0.8646896	0.6798820	0.7494300	0.0189970	0.0127617	0.1019500	0.9368231	0.3815630	0.7856316	-2128007.819
124000	1.0920849	0.9780039	0.9075476	0.8415175	0.6456400	0.8167907	0.0230641	0.0096544	0.0966209	0.6120691	0.3496388	0.3969569	-2128006.155
125000	1.0433619	0.9985740	0.8977361	0.8331964	0.6677681	0.7894412	0.0148701	0.0113749	0.1053076	0.5246985	0.6053570	0.6885707	-2128004.756
126000	1.0788106	0.9845103	0.9399253	0.8963426	0.6278629	0.7361166	0.0147009	0.0083756	0.1284506	0.5645227	0.5062473	0.5536457	-2128005.259
127000	1.0804761	0.9997509	0.9210233	0.8462099	0.5704863	0.7017079	0.0138257	0.0137212	0.1035259	0.5679275	0.7534949	0.5707220	-2128002.611
128000	1.0826669	1.0182340	0.9381956	0.8834967	0.4603794	0.7922367	0.0165381	0.0136420	0.0814202	0.4899351	0.4515427	0.4635170	-2128009.861
129000	1.1064636	0.9908527	0.9697333	0.9211319	0.4940212	0.8748162	0.0268853	0.0165407	0.0676953	0.3698293	0.9084062	0.3108722	-2128008.128
130000	1.0433259	0.9921532	0.9487566	0.8502461	0.5089753	0.8681129	0.0173383	0.0173223	0.0832460	0.5956325	0.5886630	0.7005375	-2128006.322
131000	1.0927224	0.9848146	0.9466087	0.8553034	0.5078794	0.8261774	0.0182440	0.0099707	0.1029833	0.5067341	0.3816075	0.4738906	-2128009.983
132000	1.0309973	1.0280527	0.9551889	0.8777407	0.5058799	0.8431973	0.0193888	0.0123354	0.1042682	0.4653219	0.6039504	0.3537160	-2128006.091
133000	1.0823360	0.9991679	0.9590997	0.8811204	0.4953073	0.8019918	0.0133094	0.0112595	0.1143395	0.3709291	0.8654145	0.3835601	-2128012.543
134000	1.0883131	0.9733904	0.9280214	0.8341898	0.4931286	0.6743735	0.0229661	0.0093173	0.1622151	0.3797223	0.2331599	0.4376356	-2128009.058
135000	1.0885306	0.9786154	0.9225248	0.8543844	0.5099717	0.6997515	0.0197804	0.0109894	0.1007342	0.5974865	0.7016090	0.3731828	-2128009.115
136000	1.1035958	0.9851619	0.8810976	0.8081353	0.4166070	0.7580696	0.0214421	0.0081373	0.0984317	0.6060461	0.5921268	0.7160470	-2128007.688
137000	1.1056706	0.9936290	0.8983772	0.8151318	0.4982336	0.7756144	0.0173968	0.0128585	0.0917296	0.7202440	0.8727343	0.4305354	-2128011.264
138000	1.0545125	0.9573709	0.8911353	0.7835321	0.4902724	0.6922625	0.0153228	0.0162970	0.1085414	0.6673859	1.0098857	0.5369774	-2128000.206
139000	1.0932549	0.9665056	0.9079528	0.8594249	0.5655091	0.6861281	0.0195438	0.0101963	0.1145711	0.4759876	0.1764294	0.3856807	-2128005.882
140000	1.0642863	0.9507708	0.8881020	0.8198418	0.5519152	0.6484133	0.0146165	0.0112096	0.0704897	0.6511474	0.4701080	0.5809362	-2128006.556
141000	1.0609948	1.0444225	0.9222650	0.8333216	0.5581268	0.7497453	0.0132818	0.0104421	0.0819398	0.6699088	0.3154954	0.6430002	-2128001.734
142000	1.0952737	1.0414416	0.9503095	0.8731171	0.5023494	0.7882306	0.0132774	0.0165769	0.0934309	0.2817633	1.3647901	0.3542716	-2128014.466
143000	1.0914486	0.9698791	0.9459056	0.8911884	0.5174366	0.7889423	0.0157861	0.0106536	0.1238840	0.3303185	0.3566449	0.4786801	-2128002.316
144000	1.0544940	0.9919956	0.9331262	0.9076493	0.4455005	0.7258144	0.0151147	0.0125031	0.1235895	0.4529522	0.8340744	0.5006027	-2128012.752
145000	1.0640220	0.9932804	0.9379482	0.9120937	0.5132030	0.7094493	0.0298362	0.0109232	0.1279516	1.0647576	0.4563662	0.3721658	-2128002.795
146000	1.0997086	0.9790698	0.9361844	0.9138901	0.5067726	0.7030215	0.0196496	0.0126805	0.1535681	0.3746825	0.3526893	0.8006689	-2128004.142
147000	1.0402764	0.9759609	0.9354145	0.9072689	0.5095403	0.6901427	0.0221804	0.0132399	0.2490105	0.5663869	0.3839593	0.8124817	-2128007.374
148000	1.0338226	0.9728766	0.9330813	0.8939469	0.6099149	0.7825430	0.0195044	0.0141185	0.1029516	0.3807918	0.8722400	0.4139425	-2128007.779
149000	1.0993857	0.9751365	0.9334645	0.8947868	0.6346343	0.7770654	0.0203522	0.0129507	0.0891236	0.8313826	0.6504727	0.4646626	-2128002.406
