Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	0.4050298	0.2168549	0.1169407	0.1019046	0.0902901	0.0417668	0.0309751	0.0760826	0.0617259	0.2670622	0.1327733	0.1223700	0.0744642	-638235.397
2000	0.4026040	0.2602345	0.1197276	0.1029305	0.0902005	0.0346445	0.0240592	0.0754143	0.0548045	0.2454986	0.1857932	0.3564816	0.2208670	-638239.804
4000	0.3935026	0.2494991	0.1239867	0.1083910	0.0939010	0.0413421	0.0297850	0.0718240	0.0558137	0.2552058	0.1106244	0.1417479	0.1516501	-638232.143
6000	0.3911312	0.2525307	0.1403900	0.1265520	0.1066765	0.0363153	0.0285071	0.0821169	0.0590487	0.2092028	0.1713561	0.1744701	0.2682028	-638242.070
8000	0.3847276	0.2301597	0.1361494	0.1112383	0.1022691	0.0443572	0.0258035	0.0774735	0.0579938	0.2926161	0.1099748	0.2296799	0.3868814	-638237.730
10000	0.4003383	0.2526501	0.1431377	0.1267423	0.1123434	0.0386041	0.0304980	0.0713271	0.0597915	0.2034997	0.1070782	0.0895480	0.2054161	-638237.044
12000	0.3907642	0.2473698	0.1321713	0.1156256	0.1052105	0.0408125	0.0311625	0.0768552	0.0621281	0.2372816	0.1717374	0.1369158	0.1608718	-638239.506
14000	0.4021944	0.2573018	0.1266994	0.1150020	0.1064139	0.0379567	0.0259212	0.0840915	0.0604239	0.2553419	0.1783126	0.1880395	0.0900922	-638241.161
16000	0.3944387	0.2475171	0.1403990	0.1231672	0.1144921	0.0499659	0.0375014	0.0852894	0.0518432	0.2759197	0.1699317	0.1948679	0.2893834	-638235.739
18000	0.3706579	0.2501267	0.1604989	0.1336799	0.1184651	0.0462561	0.0340140	0.0800752	0.0426158	0.2326657	0.1646686	0.1233487	0.2304663	-638235.426
20000	0.3864827	0.2542457	0.1504901	0.1371164	0.1245930	0.0462192	0.0364758	0.0666241	0.0454405	0.2369279	0.1295441	0.1476950	0.1614620	-638236.373
22000	0.3970109	0.2523531	0.1547913	0.1354345	0.1221788	0.0399267	0.0291637	0.0612580	0.0612235	0.2053822	0.1488026	0.2250673	0.1301763	-638238.889
24000	0.4002349	0.2448625	0.1364433	0.1200185	0.1071414	0.0447069	0.0266410	0.0772116	0.0524442	0.2434397	0.1299799	0.1352423	0.2408901	-638233.403
26000	0.3924457	0.2695435	0.1637956	0.1453782	0.1235873	0.0487575	0.0360393	0.0687795	0.0502329	0.2145064	0.1748847	0.1464967	0.2788795	-638242.577
28000	0.3971716	0.2717596	0.1587710	0.1396711	0.1300801	0.0426631	0.0266895	0.0828987	0.0569928	0.2353130	0.2653785	0.1351785	0.1253687	-638241.792
