Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	1.0865536	0.9732691	0.1896720	0.1666105	0.1226501	0.1115262	0.0647542	0.0283547	0.3262594	1.5999998	1.7778900	1.0433841	-2128005.650
2000	1.0582465	0.9713836	0.1892957	0.1845209	0.1265294	0.1085713	0.0496083	0.0700226	0.3628009	0.8911946	1.1563096	1.7230462	-2128001.926
4000	1.0975179	0.9848438	0.2075875	0.1942829	0.1335364	0.1217959	0.0441092	0.0686841	0.1851207	1.3539316	2.2977475	1.7924182	-2128005.198
6000	1.0967332	0.9506004	0.2782439	0.2391591	0.1545436	0.1428250	0.0495721	0.0302253	0.1760737	0.8143580	1.1676104	1.4568841	-2128005.116
8000	1.0699814	0.9434999	0.2381342	0.2297313	0.1842105	0.1960220	0.0425641	0.0222267	0.1983383	0.9281677	0.7440956	1.1646683	-2128004.383
10000	1.1006075	0.9510852	0.2622855	0.2138400	0.1515508	0.1988557	0.0486126	0.0193768	0.3470812	0.9521043	1.0081391	1.3137856	-2128008.674
12000	1.0835756	0.9768208	0.2463809	0.2125301	0.1564263	0.1640878	0.0661188	0.0262398	0.3496435	1.1090977	1.0355581	1.1362401	-2128008.977
14000	1.1025237	0.9518684	0.2907299	0.2263272	0.1431735	0.3300662	0.0643161	0.0157137	0.1306226	1.0241000	1.0250292	0.7733943	-2128014.971
16000	1.0710961	0.9515406	0.3788669	0.2379608	0.1719888	0.3600300	0.0399769	0.0139135	0.2213142	1.3598848	0.7558270	1.0945562	-2128005.656
18000	1.0777127	0.9504039	0.4228084	0.3352230	0.2079800	0.2772186	0.1004842	0.0185045	0.1512109	2.1724779	0.7079321	0.5796544	-2128007.421
20000	1.0999377	0.9864838	0.4372015	0.3349393	0.2626570	0.2621380	0.0360759	0.0358736	0.1755938	0.9805120	1.4432209	1.5221008	-2128010.051
22000	1.1076460	0.9560895	0.5251274	0.3459272	0.2341184	0.2925261	0.0355523	0.0160721	0.1673429	1.6331679	0.6459558	0.7839068	-2128006.489
24000	1.0888416	0.9500610	0.4627779	0.4007368	0.2631146	0.3391675	0.0315623	0.0106483	0.1171292	1.0165160	0.9673908	1.0245117	-2128016.410
26000	1.0868359	0.9451803	0.4726635	0.4383045	0.2573028	0.5619450	0.0312926	0.0119735	0.1650460	0.9088784	0.8048580	0.6235449	-2128012.937
28000	1.0754046	0.9541141	0.5055295	0.4737903	0.3622396	0.5431989	0.0285451	0.0154608	0.2140417	0.8029462	0.5119716	0.7678811	-2128007.463
30000	1.0729907	0.9654656	0.6356491	0.4938723	0.3855781	0.5946615	0.0585178	0.0153409	0.0767114	1.3237864	0.9254230	0.5914981	-2128005.760
32000	1.0724331	0.9555022	0.8697058	0.5675990	0.4894604	0.6818296	0.0360628	0.0122963	0.1267037	1.5844052	0.9273015	0.8884947	-2128004.448
34000	1.0875497	0.9802620	0.8953263	0.6550617	0.4941611	0.8720193	0.0338271	0.0082203	0.0689068	0.9004832	0.6223079	0.5733077	-2128014.731
36000	1.0875213	1.0453488	1.0048631	0.6099960	0.4869509	0.8791455	0.0431378	0.0139678	0.1043681	1.1495495	0.8102162	0.6594029	-2128011.209
38000	1.0496365	0.9885000	0.7794947	0.6063523	0.5019500	0.8633958	0.0186488	0.0144890	0.0841989	0.8000367	0.5497574	0.4175292	-2128003.522
40000	1.0497039	0.9794773	0.9017597	0.8159063	0.5609846	0.8137517	0.0195115	0.0121009	0.0748458	0.5118460	0.6046838	0.3055503	-2128009.351
42000	1.0615455	0.9767153	0.9053294	0.8079329	0.4884351	0.7374144	0.0249700	0.0088731	0.1140719	0.5778467	0.4583175	0.5011126	-2128004.188
44000	1.0827988	1.0471281	0.7958470	0.6802559	0.4654137	0.6823370	0.0218081	0.0095106	0.0799887	0.9926229	0.6464784	1.0802296	-2128007.979
