Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	0.3897700	0.2544587	0.1567685	0.1447258	0.1301130	0.0496475	0.0310776	0.0698326	0.0510845	0.2768813	0.2728937	0.1357769	0.2878093	-638240.337
1000	0.4032300	0.2585141	0.1480567	0.1325616	0.1198682	0.0396407	0.0245267	0.0786520	0.0591520	0.2528281	0.2401054	0.0617624	0.1000544	-638240.692
2000	0.3893448	0.3094442	0.1766097	0.1592929	0.1265148	0.0473137	0.0369634	0.0615267	0.0478149	0.2289433	0.2868440	0.1375165	0.1564963	-638239.900
3000	0.3869690	0.3384202	0.1743631	0.1577160	0.1447374	0.0851038	0.0489100	0.0621260	0.0386412	0.2287554	0.2177642	0.3066710	0.5742954	-638236.477
4000	0.3864448	0.2734664	0.1361054	0.1242879	0.1107735	0.0516543	0.0359083	0.0734727	0.0695178	0.2337299	0.1906674	0.2489945	0.1996883	-638238.457
5000	0.3823085	0.2516151	0.1421378	0.1302331	0.1100847	0.0467142	0.0350712	0.0801417	0.0436777	0.3152953	0.1657693	0.1658034	0.2634460	-638235.344
6000	0.3932544	0.2629835	0.1615267	0.1499180	0.1348713	0.0531163	0.0409425	0.0730399	0.0446701	0.2169174	0.1538768	0.2657727	0.1607359	-638238.415
7000	0.4018144	0.2482994	0.1538318	0.1402429	0.1318180	0.0549932	0.0390325	0.0674164	0.0471803	0.2201476	0.2555221	0.2435513	0.1191270	-638245.788
8000	0.3898284	0.2481945	0.1648688	0.1453343	0.1319297	0.0565803	0.0439997	0.0811275	0.0465131	0.2141289	0.1348933	0.1756948	0.1652741	-638235.267
9000	0.4041301	0.2495790	0.1592965	0.1414389	0.1286044	0.0527122	0.0363553	0.0716202	0.0433005	0.2135240	0.1684026	0.0796077	0.3015016	-638249.338
10000	0.3764922	0.2547293	0.1667340	0.1501769	0.1397858	0.0473485	0.0273565	0.0686165	0.0553426	0.3096869	0.1745108	0.1944075	0.4663274	-638240.136
11000	0.4029656	0.2611892	0.1380384	0.1194144	0.1052454	0.0512138	0.0340814	0.0661499	0.0647952	0.2112703	0.3617756	0.0958244	0.1934724	-638235.613
12000	0.3758944	0.2419221	0.1471889	0.1269620	0.1082752	0.0396369	0.0266283	0.0839554	0.0460677	0.2955379	0.1964099	0.1191741	0.3125460	-638235.236
13000	0.3682273	0.2634969	0.1374057	0.1223316	0.1114153	0.0459201	0.0294894	0.0692588	0.0530279	0.2283552	0.2927312	0.0860333	0.1669659	-638231.934
14000	0.3676821	0.2589165	0.1499963	0.1316871	0.1182106	0.0464592	0.0305603	0.0732125	0.0782506	0.2770487	0.2108495	0.4735849	0.2237657	-638239.530
