Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
658000	0.3971904	0.2602011	0.1398470	0.1204190	0.1041599	0.0399935	0.0302878	0.0641015	0.0587323	0.2314089	0.2453806	0.4514131	0.2739624	-638239.808
659000	0.3941499	0.2553699	0.1436531	0.1278814	0.1101674	0.0492238	0.0334730	0.0648903	0.0469916	0.2298661	0.0947123	0.1853755	0.1882937	-638243.106
660000	0.3881724	0.2489876	0.1393475	0.1245386	0.1083825	0.0476537	0.0333377	0.0755348	0.0581632	0.2352793	0.1351993	0.2067138	0.2182165	-638246.540
661000	0.4051502	0.2506204	0.1475416	0.1292736	0.1211273	0.0487851	0.0350660	0.0767848	0.0545071	0.2273007	0.2330685	0.1317686	0.1820806	-638249.618
662000	0.3881002	0.2604909	0.1654615	0.1491038	0.1332490	0.0379869	0.0287579	0.0650351	0.0480654	0.2247790	0.1076000	0.1205245	0.1323914	-638241.881
663000	0.3799244	0.2492142	0.1688948	0.1536643	0.1409452	0.0403956	0.0292130	0.0735671	0.0438684	0.2590949	0.1219016	0.1210244	0.1385609	-638235.936
664000	0.4062488	0.2572136	0.1771870	0.1639057	0.1353841	0.0547946	0.0300118	0.0691210	0.0594631	0.1825612	0.2488921	0.2730859	0.2131854	-638235.450
665000	0.3706736	0.2525675	0.1665612	0.1549992	0.1444832	0.0387743	0.0236944	0.0975885	0.0462287	0.2621044	0.2230531	0.1679546	0.1783244	-638242.657
666000	0.3857997	0.2611315	0.1601117	0.1471647	0.1346131	0.0436930	0.0310315	0.0647302	0.0538726	0.3063238	0.2104045	0.2098313	0.1749293	-638248.752
667000	0.3769968	0.2727867	0.1551249	0.1416712	0.1313020	0.0505903	0.0342351	0.0667309	0.0560311	0.2505822	0.3182075	0.1340661	0.1457260	-638235.625
668000	0.3881206	0.2635960	0.1508711	0.1362631	0.1193635	0.0405794	0.0285431	0.0732081	0.0581881	0.2382297	0.1041629	0.2139512	0.1677688	-638239.711
