Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
86000	1.0707675	1.0269543	0.9753432	0.9024472	0.3957784	0.5821044	0.0213797	0.0094074	0.1262383	0.3681014	0.4247232	0.5487896	-2128020.900
88000	1.0747346	1.0017734	0.9592044	0.9149156	0.4403195	0.5907989	0.0147155	0.0062374	0.0998364	0.2119502	0.5498380	0.3772856	-2128000.898
90000	1.0413381	1.0383864	0.9983435	0.9402680	0.4460136	0.7013256	0.0146189	0.0065011	0.1079768	0.3035514	0.6258871	0.7625337	-2128005.448
92000	1.0807151	0.9828730	0.9330329	0.8828077	0.2652216	0.8042174	0.0213111	0.0127866	0.1139244	0.6476391	0.3656749	0.4793634	-2128004.687
94000	1.0575987	0.9689048	0.9195907	0.7553391	0.2866502	0.8200203	0.0243312	0.0135100	0.0998295	0.4834661	0.8561581	0.3302945	-2128006.065
96000	1.0770412	1.0453079	0.8728007	0.6816155	0.3782942	0.5770273	0.0233755	0.0097648	0.1122483	0.8812360	0.7969195	0.5080745	-2128007.820
98000	1.0358826	0.9513254	0.7456982	0.6865132	0.3241298	0.5182149	0.0129453	0.0094660	0.1707969	0.4639715	0.6721303	0.9590205	-2128011.363
100000	1.0195077	0.9513687	0.7395540	0.7164067	0.3040206	0.5072305	0.0310331	0.0170721	0.1733306	0.6297863	0.7946151	0.7988195	-2128006.136
102000	1.0631326	0.9647616	0.7809194	0.7175728	0.3621674	0.3229030	0.0176108	0.0094973	0.2187861	0.5820446	0.7110459	0.9953797	-2128006.481
104000	1.0403371	1.0092156	0.8630733	0.7513161	0.5365180	0.2646379	0.0273627	0.0130832	0.1127840	0.8113232	0.4792527	0.5400419	-2128011.283
106000	1.0563556	0.9668099	0.8931850	0.8177183	0.4813492	0.2662044	0.0255982	0.0134044	0.1305737	0.5513511	0.7174272	0.5661285	-2128007.349
108000	1.0194146	0.9569928	0.8528022	0.7871413	0.5559672	0.4109514	0.0176702	0.0093420	0.1783792	0.4081131	0.4515076	0.5402387	-2128007.599
110000	1.0803000	0.9399375	0.8019915	0.7263849	0.4300770	0.5573689	0.0207864	0.0076664	0.0948890	0.6912712	0.3339186	0.3771981	-2128008.602
112000	1.0926205	0.9690817	0.8927016	0.8423604	0.5039296	0.6944610	0.0160277	0.0174271	0.1222532	0.2345110	0.5123467	0.3272431	-2128002.190
114000	1.0618118	1.0394206	1.0013265	0.9013520	0.6088432	0.7887589	0.0182170	0.0107797	0.0724811	0.3928142	0.4574975	0.2970675	-2128013.140
116000	1.0965250	1.0238238	0.9610812	0.9307979	0.5951285	0.6732015	0.0220034	0.0124867	0.1551989	0.9039343	0.2407136	0.7176651	-2128005.839
118000	1.0744740	0.9807146	0.8860377	0.8118505	0.6103184	0.7320543	0.0177686	0.0083768	0.1204678	0.2625202	0.6632228	0.5360207	-2128012.134
120000	1.0980720	0.9940495	0.9383518	0.8144613	0.6474886	0.7451028	0.0184881	0.0128588	0.1402526	0.5582861	0.4676360	0.7716072	-2128007.869
122000	1.0643324	1.0406134	0.9604040	0.8527933	0.7229399	0.6773674	0.0260584	0.0101963	0.0944265	0.9779662	0.5937204	0.4403941	-2128010.022
124000	1.0958328	0.9951071	0.9486036	0.9084762	0.7316483	0.7182889	0.0139823	0.0106699	0.0989898	0.3185758	0.3863925	0.3400388	-2128014.844
126000	1.1050136	1.0007920	0.9671995	0.9116833	0.6587174	0.7193040	0.0238221	0.0105567	0.1246494	0.5063344	0.3248163	0.3438426	-2128002.745
128000	1.0553219	0.9975889	0.9571260	0.9257989	0.7040838	0.7900080	0.0281777	0.0128771	0.1230394	0.7126313	0.6196374	0.5233128	-2128011.884
130000	1.0097202	1.0095945	0.9476483	0.8764300	0.6605890	0.7936135	0.0284802	0.0126972	0.0809940	0.4707753	0.7627595	0.3642142	-2128004.052
132000	1.0365144	0.9760163	0.8790813	0.8488269	0.5893073	0.7108731	0.0158047	0.0135635	0.1204340	0.4585175	0.7049111	0.5747232	-2128011.033
134000	1.0179251	0.9850316	0.9183537	0.8156970	0.5624853	0.6065314	0.0185537	0.0072327	0.0912623	0.4194836	0.4521965	0.3335501	-2128007.681
136000	1.0048267	0.9626532	0.9147859	0.8698687	0.6694913	0.6858839	0.0200658	0.0103583	0.1261484	0.7775361	0.3281348	0.6633756	-2128010.467
138000	1.0523459	0.9455960	0.8982535	0.8060628	0.6741585	0.6136713	0.0247673	0.0089297	0.1238024	0.5211622	0.3648617	0.8377065	-2128006.940
140000	1.0789367	0.9452325	0.8904253	0.7918579	0.5758946	0.7504999	0.0271849	0.0103753	0.0946879	0.8211225	0.4706314	0.4448375	-2128012.489
142000	1.0952010	0.9399299	0.9046618	0.8664205	0.6425574	0.7012613	0.0195948	0.0093118	0.0802229	0.4134394	0.5451846	0.2804787	-2128008.153
144000	1.0562317	0.9611385	0.9238062	0.8384889	0.6324527	0.6556845	0.0233032	0.0078297	0.0744216	0.4173172	0.2947161	0.4664469	-2128013.572
146000	1.0211360	0.9877934	0.9391776	0.8754528	0.6907287	0.6453620	0.0107871	0.0075944	0.1607776	0.5581077	0.3391749	0.7806529	-2128018.402
148000	1.0029346	0.9961481	0.9423570	0.8821730	0.7394448	0.7897160	0.0202430	0.0129875	0.0959562	0.5667850	0.6123856	0.4175664	-2128004.153
150000	1.0918801	0.9814836	0.9335017	0.8801555	0.6688543	0.6830058	0.0148573	0.0107617	0.1098232	0.4223107	0.2772832	0.2530687	-2128009.578
152000	1.0913791	0.9553180	0.8770673	0.8291359	0.6879220	0.5821563	0.0198726	0.0134198	0.0779766	0.5112349	0.3469374	0.2169584	-2128011.614
154000	0.9943206	0.9549497	0.8694700	0.7877943	0.5391457	0.5693540	0.0143311	0.0087410	0.0711639	0.2532259	0.4969831	0.3763254	-2128003.274
156000	0.9935401	0.9335056	0.8692282	0.8234570	0.4240289	0.5603929	0.0239114	0.0102370	0.0940685	0.4477497	0.3506543	0.4709265	-2128007.055
158000	1.0897637	1.0099713	0.9470195	0.8848988	0.5998771	0.7324207	0.0227116	0.0109935	0.0845652	0.5083370	0.8697314	0.5777140	-2128012.097
160000	1.1029510	0.9702480	0.9330696	0.8824902	0.6420111	0.7270406	0.0227703	0.0096384	0.1202647	0.6075113	0.2969575	0.4266760	-2128014.603
162000	1.0996000	0.9513621	0.9110025	0.8654334	0.6416633	0.6516061	0.0177191	0.0108316	0.0969605	0.2607006	0.3253973	0.4577403	-2128001.860
164000	1.0619247	0.9656897	0.8626413	0.8231917	0.7231937	0.6301573	0.0167347	0.0098942	0.1035083	0.8084066	0.7243221	0.7005414	-2128007.161
166000	1.0299902	0.9553694	0.9149718	0.8627487	0.7814749	0.6245006	0.0279092	0.0139965	0.1099774	0.5513172	0.4733394	0.3386825	-2128006.258
168000	1.0684971	0.9892478	0.9461158	0.8859242	0.7755496	0.6125203	0.0235595	0.0132154	0.0907314	1.1015566	0.6643703	0.6957121	-2128011.264
170000	1.0676465	0.9781419	0.9364327	0.8855541	0.6826999	0.6703585	0.0192045	0.0147697	0.1141358	0.2583593	0.5413771	0.3843267	-2128013.100
172000	1.0856002	0.9472302	0.8999030	0.8298665	0.6110422	0.6697514	0.0127096	0.0111141	0.0737299	0.6303077	0.3671065	0.4142274	-2128009.926
174000	1.0324531	0.9617396	0.9070943	0.8297713	0.5410680	0.5702310	0.0204205	0.0096342	0.0785858	0.4096098	0.5287283	0.4777566	-2128004.114
176000	1.0672465	0.9710841	0.9215008	0.8674340	0.6891228	0.4937426	0.0240473	0.0132226	0.1187007	0.7637098	0.4695487	0.3162090	-2128002.686
178000	0.9875790	0.9794866	0.9301128	0.8708237	0.5685476	0.5102870	0.0174335	0.0144011	0.0686831	0.2524264	0.7789573	0.4277513	-2128009.659
180000	1.0141109	0.9793950	0.9262273	0.8778554	0.6474839	0.8322143	0.0281500	0.0115955	0.0804023	0.5445821	0.6912560	0.3953867	-2128008.380
182000	0.9987422	0.9755021	0.9332362	0.9086504	0.7874711	0.6902452	0.0235412	0.0109173	0.1815566	0.8506011	0.3960188	0.5770999	-2128006.764
184000	1.0179129	0.9459186	0.9226312	0.8818139	0.8105163	0.7260676	0.0315389	0.0174880	0.1382810	0.7647946	0.8081835	0.3113759	-2128008.105
186000	1.0132591	0.9898083	0.9256115	0.8889521	0.6985357	0.7984634	0.0202551	0.0102701	0.0831703	0.4535387	0.4241803	0.3243670	-2128007.757
188000	1.0528294	1.0074907	0.9524685	0.8639563	0.7227313	0.6429664	0.0265663	0.0092208	0.0925671	0.4947916	0.5426624	0.5287683	-2128011.272
190000	1.0223720	1.0071448	0.9705026	0.9163378	0.6669798	0.7131136	0.0190680	0.0127290	0.0894285	0.3955261	0.4237236	0.4817207	-2128006.843
192000	1.0805775	1.0669361	1.0248361	0.9152751	0.6821846	0.6800559	0.0132608	0.0080665	0.0986464	0.6158480	0.5408600	0.3283244	-2128001.922
194000	1.0805880	0.9921804	0.9394902	0.8371264	0.5639707	0.6531563	0.0224360	0.0091287	0.0829053	0.3727446	0.2728335	0.3123753	-2128004.882
196000	1.0717447	0.9642564	0.8728007	0.8188400	0.4868050	0.7056026	0.0174832	0.0074900	0.0929642	0.4190764	0.2741176	0.2865797	-2128010.964
198000	1.1061988	0.9774410	0.9151742	0.8574923	0.5635444	0.7511384	0.0191119	0.0103113	0.0754802	0.4864989	0.3371904	0.4019158	-2128010.338
200000	1.0892396	0.9619063	0.9268488	0.8696923	0.6418686	0.6186220	0.0147511	0.0081809	0.1047934	0.3064195	0.3455331	0.5188705	-2128010.020
202000	1.1002254	1.0067280	0.8985178	0.8469702	0.6175729	0.3163737	0.0168280	0.0117716	0.1621255	0.4665797	0.2865361	0.6962253	-2128010.975
204000	1.0586982	0.9748484	0.9039697	0.8615486	0.6380478	0.4868906	0.0219860	0.0110287	0.0813015	0.4604375	0.2412271	0.4862940	-2128006.836
206000	1.0527248	0.9616227	0.8976271	0.8208787	0.6845995	0.5322529	0.0165173	0.0163664	0.0962374	0.4684067	0.5571727	0.2738496	-2128001.821
208000	1.0837003	0.9693274	0.9385759	0.8392959	0.6879635	0.6349779	0.0194143	0.0076788	0.1284482	0.5167705	0.4204754	0.4616108	-2128006.208
210000	1.0858594	0.9652049	0.8817094	0.8127614	0.6229990	0.6299618	0.0177957	0.0095996	0.1022595	0.2903388	0.5887103	0.3858290	-2128010.243
212000	1.0776594	0.9519937	0.8903741	0.8507120	0.5840958	0.6944794	0.0183618	0.0123562	0.0693234	0.4951405	0.4644570	0.2475505	-2128005.686
214000	1.0988417	0.9654170	0.8710610	0.7252234	0.5418761	0.6964498	0.0156635	0.0133334	0.0894827	0.4044424	0.5918748	0.4108051	-2128001.878
216000	1.0765340	0.9442692	0.8943361	0.8472696	0.6159330	0.6659139	0.0196255	0.0137832	0.0841357	0.4529004	0.5877494	0.2143160	-2128013.903
218000	1.0909578	1.0455816	0.9500968	0.8893142	0.6555913	0.7962171	0.0249393	0.0122157	0.1111424	0.5402624	0.3576062	0.7620521	-2128007.222
220000	1.0884843	1.0163879	0.9591084	0.9175784	0.7315847	0.7560261	0.0228522	0.0074809	0.1036308	0.4609218	0.8873295	0.4859043	-2128015.609
222000	1.0938266	1.0510241	0.9935819	0.9504207	0.6603450	0.7710153	0.0156609	0.0094931	0.1148449	0.4384016	0.3624426	0.4233043	-2128009.707
224000	1.0579980	0.9948012	0.9461184	0.9067679	0.7076307	0.6974021	0.0202741	0.0127961	0.1047575	0.3330400	0.5582041	0.6186701	-2128005.590
226000	1.0558229	1.0021941	0.9518713	0.9009807	0.7158183	0.6840804	0.0187493	0.0111561	0.0938341	0.4129473	0.3679450	0.5494411	-2128006.175
228000	1.0972862	1.0247714	0.9299976	0.8376434	0.5860600	0.8031642	0.0122044	0.0111219	0.0858799	0.2737886	0.9618827	0.4829012	-2128009.505
230000	1.0585776	1.0257678	0.9328705	0.8924640	0.5751013	0.6239102	0.0181608	0.0070755	0.0821310	0.5463052	0.3314167	0.4222711	-2128007.720
232000	1.0358977	0.9530677	0.9118201	0.8042363	0.4786352	0.7256754	0.0168019	0.0110329	0.1078185	0.4285495	0.4195235	0.5735553	-2128001.528
234000	1.0681626	0.9517431	0.8833636	0.8203560	0.4315286	0.7267995	0.0225390	0.0223552	0.0899658	0.6214536	0.6918147	0.3235123	-2128005.137
236000	1.0403041	0.9464337	0.8756602	0.7768222	0.5910803	0.6958284	0.0205203	0.0104304	0.0767318	0.4073020	0.4845625	0.7222951	-2128006.230
238000	1.0541040	0.9528066	0.9051635	0.8536435	0.6514396	0.5657569	0.0174716	0.0101904	0.1408524	0.2409957	0.3493588	0.4592650	-2128011.893
240000	1.0840328	0.9558756	0.8813316	0.7932759	0.5278553	0.8071744	0.0152184	0.0086726	0.0733246	0.3057402	0.5338696	0.5061864	-2128004.919
242000	1.0873232	0.9736217	0.9122334	0.8533655	0.4830232	0.7297080	0.0194542	0.0118529	0.0863687	0.3356777	0.4631586	0.3200948	-2128008.734
244000	1.0720796	0.9588205	0.9092299	0.8754261	0.5789874	0.7275331	0.0219508	0.0086182	0.1106817	0.4988748	0.3618173	0.3588407	-2128003.648
246000	1.0873703	0.9566648	0.8580633	0.8034183	0.6369224	0.7989524	0.0127650	0.0090355	0.1226696	0.7712664	0.2553599	0.3743362	-2128006.734
248000	1.0998307	0.9662086	0.9268545	0.8723783	0.6510640	0.7138344	0.0186699	0.0104417	0.0980515	0.4426004	0.3049064	0.2429024	-2128005.440
250000	1.0913776	0.9908843	0.9241920	0.8350430	0.6451280	0.5597312	0.0240874	0.0084189	0.1105586	0.4810895	0.2965296	0.3611334	-2128010.258
252000	1.1007893	0.9904780	0.9259919	0.8801158	0.7317027	0.5917073	0.0259307	0.0112907	0.1053884	0.5188060	0.3085417	0.9281920	-2128005.791
254000	1.0829644	0.9823503	0.9309125	0.8788234	0.7343036	0.5055526	0.0213118	0.0123562	0.0835900	0.6041274	0.3995923	0.4375240	-2128005.282
256000	1.0620888	0.9632258	0.9158475	0.8777629	0.7495305	0.6509464	0.0213070	0.0213280	0.1501291	0.5557638	0.7483027	0.4664062	-2128008.766
258000	1.0722309	0.9439205	0.8754860	0.8257258	0.6515531	0.5891502	0.0148222	0.0126796	0.1106943	0.2246969	0.3123487	0.5510190	-2127998.836
260000	1.0709089	0.9875201	0.9365110	0.8704443	0.6601315	0.7404069	0.0184525	0.0139493	0.0836334	0.4936320	0.3125547	0.4970513	-2128004.624
262000	1.0896318	0.9791836	0.9282161	0.8446091	0.6887228	0.7827777	0.0166745	0.0132809	0.0703462	0.5536067	0.5095199	0.5950799	-2128010.003
264000	1.0160741	0.9634001	0.9091452	0.8411904	0.6260492	0.5815772	0.0202720	0.0194550	0.0925739	0.6283086	0.4905071	0.5939080	-2128003.153
266000	1.0269647	0.9785802	0.9274919	0.8333997	0.5623053	0.6160459	0.0170935	0.0133189	0.0766258	0.6031153	0.5683261	0.4588597	-2128011.535
268000	1.0650928	1.0191073	0.9790195	0.9239853	0.6411324	0.6965432	0.0259862	0.0090157	0.1351564	0.7444672	0.3888046	0.4513645	-2128004.378
270000	1.0887764	1.0149553	0.9939625	0.9578355	0.7098703	0.6540567	0.0264486	0.0129779	0.1291329	1.0034263	0.6383795	0.3786228	-2128008.729
272000	1.0707457	1.0605979	0.9824855	0.9491996	0.7649837	0.8346285	0.0141220	0.0090940	0.1272011	0.3600143	0.4316006	1.0086012	-2128020.237
274000	1.0679010	1.0151041	0.9531004	0.9068669	0.7382089	0.6517002	0.0187061	0.0114260	0.0995752	0.4079134	0.3062187	0.3397494	-2128012.103
276000	1.0942844	0.9957198	0.9501861	0.8876042	0.6793686	0.6765475	0.0176035	0.0116370	0.1056153	0.3897635	0.3773962	0.3669834	-2128009.968
278000	1.1046508	0.9721095	0.9310126	0.8770938	0.6695841	0.7064598	0.0174567	0.0124827	0.1367655	0.2331352	0.3900767	0.6276614	-2128012.952
280000	1.0844682	0.9896685	0.8916141	0.8474944	0.6622995	0.7388747	0.0168841	0.0121034	0.0837138	0.3953594	0.2495480	0.4157233	-2128001.566
282000	1.0033231	0.9576763	0.8490436	0.7734730	0.6738277	0.6361913	0.0392872	0.0113623	0.1297193	0.9685500	0.3627771	0.6218224	-2128004.056
284000	1.0115679	0.9653807	0.8499228	0.7942587	0.6281996	0.5666484	0.0223624	0.0167185	0.1069948	0.4049102	0.6237937	0.4211493	-2128009.375
286000	1.0657635	0.9770171	0.9174617	0.8368477	0.6236824	0.6886582	0.0199327	0.0094161	0.1113186	0.3322517	0.3038880	0.3419403	-2128011.244
288000	1.0887495	1.0144165	0.9670244	0.9101575	0.6548259	0.6353070	0.0138645	0.0082856	0.1103196	0.2272420	0.3549791	0.2786740	-2128009.899
290000	1.1024118	1.0247349	0.9805791	0.9299904	0.7152301	0.7746641	0.0210930	0.0155566	0.0903349	0.4456642	0.5583541	0.5056062	-2128013.522
292000	1.0517590	1.0165055	0.9788066	0.9384430	0.7393719	0.7912553	0.0232345	0.0103049	0.1476044	0.3576653	0.3797487	0.5733648	-2128007.078
294000	1.0893712	1.0400793	0.9954990	0.9203404	0.7688504	0.7356805	0.0124788	0.0128284	0.0960400	0.5840730	0.4649273	0.2782156	-2128006.916
296000	1.0911084	1.0273131	0.9851829	0.9153522	0.7998935	0.6915553	0.0209845	0.0089738	0.1252042	0.4152712	0.4193745	0.3078806	-2128007.602
298000	1.0761378	1.0318472	0.9747769	0.8940241	0.6701240	0.6754537	0.0156715	0.0100373	0.0917542	0.2810976	0.2336358	0.8603477	-2128008.583
300000	1.0851933	1.0098656	0.8694858	0.7985555	0.6116815	0.6869545	0.0367702	0.0083813	0.0854117	1.0501371	0.2583827	0.3079702	-2128009.919
302000	1.0152434	0.9544339	0.8858563	0.7453820	0.6063453	0.8287197	0.0153234	0.0091735	0.0932749	0.2994876	0.5475080	0.4265129	-2128009.466
304000	1.0511988	0.9475542	0.8357094	0.7590531	0.5820858	0.7135942	0.0180803	0.0127820	0.0912122	0.3359379	0.6436611	0.4414898	-2128010.187
306000	1.0919550	0.9472423	0.8642390	0.8196504	0.6745439	0.5186402	0.0157522	0.0095950	0.1253805	0.3988459	0.4004201	0.6792114	-2128021.371
308000	1.1069068	0.9503546	0.8579952	0.8028425	0.6363293	0.7332822	0.0161161	0.0118539	0.1216693	0.4468772	0.3818534	0.4059587	-2128013.948
310000	1.0322903	0.9522565	0.9077855	0.8467515	0.6402352	0.6534045	0.0135311	0.0102098	0.0938076	0.4456531	0.3605690	0.2385385	-2128015.342
312000	1.0141997	1.0046644	0.9815351	0.9067439	0.6498958	0.4529695	0.0319021	0.0113825	0.1756952	0.7143475	0.6756805	0.8061946	-2128010.585
314000	1.0332401	1.0213772	0.9762618	0.8600641	0.6123722	0.8082944	0.0287394	0.0095994	0.1325023	1.1386931	0.4359710	0.6488943	-2128002.455
316000	1.0992837	1.0368851	0.9886202	0.9184686	0.5968066	0.6834786	0.0232431	0.0120660	0.1245212	0.7346110	0.3920188	1.2035543	-2128005.856
318000	1.0764939	1.0675076	1.0294414	0.9528715	0.6976035	0.6470335	0.0203740	0.0084524	0.1048519	1.5658436	0.3665571	0.4257399	-2128008.269
320000	1.0824453	1.0395931	1.0038221	0.9671208	0.7061727	0.6200246	0.0143883	0.0109610	0.0881394	0.3735959	0.3328967	0.4577458	-2128009.116
322000	1.0870124	1.0298535	0.9876281	0.9416271	0.7399125	0.6956046	0.0215244	0.0140924	0.1453016	0.7227820	0.3927660	0.4554371	-2127999.292
324000	1.0802676	1.0415281	0.9877317	0.9173952	0.7610898	0.5908500	0.0169797	0.0084993	0.1007472	0.4182883	0.2513288	0.3549218	-2128008.306
326000	1.0729748	1.0715025	0.9668822	0.8790540	0.6489653	0.7047972	0.0174725	0.0103276	0.0926749	0.4743423	0.3230255	0.3446617	-2128006.665
328000	1.0990177	1.0964126	0.9255038	0.8606249	0.6529434	0.4282994	0.0152114	0.0122627	0.1282424	0.4226960	0.5592032	1.0729662	-2128011.624
330000	1.0688990	0.9929402	0.9351214	0.8916615	0.7607279	0.3774544	0.0242610	0.0131340	0.0756176	0.7288773	0.3423136	0.5426418	-2128003.621
332000	1.0705190	0.9971232	0.9603385	0.8867565	0.7222495	0.3606144	0.0318152	0.0176961	0.1205307	0.8030249	1.0116796	0.4564565	-2128003.630
334000	1.0852671	1.0058048	0.9564916	0.9046173	0.7327157	0.4771384	0.0209169	0.0127550	0.1063067	0.6447842	0.3331409	0.4989042	-2128001.498
336000	1.0733756	1.0122298	0.9782707	0.8193856	0.6208533	0.4011223	0.0188649	0.0149193	0.1185025	0.3146043	0.3961513	0.5067982	-2128004.354
