Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	1.0721591	0.9607518	0.3798126	0.3426587	0.2157405	0.5087557	0.0257972	0.0288120	0.2129878	1.4088791	1.3905502	1.3164278	-2128003.155
2000	1.0458564	0.9535474	0.4749046	0.4004267	0.2412438	0.5832629	0.0187975	0.0121668	0.1408735	0.8796381	0.5794690	1.6342797	-2128011.818
4000	1.1054153	0.9541601	0.5351421	0.4260359	0.2786728	0.5401882	0.0272532	0.0112493	0.2340864	0.8055365	0.4376071	1.3535104	-2128016.856
6000	1.1031567	1.0101428	0.5025349	0.4308236	0.2913570	0.8803072	0.0227126	0.0435381	0.1566485	0.6015149	1.5588904	1.0398188	-2128002.307
8000	1.0970649	0.9571399	0.5004277	0.3697782	0.3027551	0.8399215	0.0219654	0.0144200	0.2161341	1.1695149	0.9982465	1.3705557	-2128007.769
10000	1.0840693	1.0015062	0.4323536	0.4111752	0.2880209	0.8550776	0.0143826	0.0292422	0.1288773	0.7944122	0.8545043	0.7207941	-2128005.182
12000	1.0734080	0.9515680	0.4667600	0.4034483	0.2626076	0.7618331	0.0189608	0.0186698	0.1212326	0.7202352	0.8337643	0.8481685	-2128016.305
14000	1.0993475	0.9714288	0.5326022	0.4508919	0.3014759	0.7045745	0.0145407	0.0118922	0.2162968	0.7399468	0.5358285	1.0555585	-2128009.539
16000	1.0905757	0.9626302	0.6555895	0.4434356	0.3055598	0.8064532	0.0269887	0.0166190	0.1325951	0.6840644	0.6975800	0.7837991	-2128012.548
18000	1.0678735	0.9527288	0.6392322	0.5389293	0.3779811	0.7224733	0.0272920	0.0113835	0.1222446	0.7820187	0.7527303	0.5126197	-2128000.816
20000	1.0529212	1.0157214	0.7356874	0.6880666	0.4908096	0.7539653	0.0279656	0.0191341	0.1120417	0.6870305	1.3656672	0.6912330	-2128011.674
22000	1.0868447	0.9517926	0.7963169	0.6968538	0.5032700	0.6938859	0.0133590	0.0092533	0.0996175	0.4561322	0.4195986	0.3823625	-2128007.414
24000	1.0842514	0.9531023	0.8464786	0.8074890	0.6292989	0.5726186	0.0162947	0.0131990	0.1132186	0.3228826	0.4459160	0.4884698	-2128011.278
26000	1.0984323	0.9735360	0.8814961	0.8182277	0.6167695	0.5982864	0.0280553	0.0111202	0.1274454	0.7748825	0.2768811	0.5529595	-2128005.986
28000	1.0972049	0.9629593	0.9224021	0.8702096	0.6852326	0.7460922	0.0271306	0.0113633	0.0994693	0.5600176	0.2735298	0.6801032	-2128011.839
30000	1.0442951	0.9918651	0.9465165	0.8658553	0.7244772	0.8191583	0.0184029	0.0141202	0.1039493	0.6891705	0.6468383	0.7432714	-2128014.832
32000	1.1000479	0.9482895	0.8923836	0.8440815	0.7122293	0.7071350	0.0203505	0.0126416	0.0970022	0.4393478	0.4958410	0.4016601	-2128010.711
34000	0.9981837	0.9729937	0.8705491	0.8095295	0.6835558	0.6621882	0.0121639	0.0093164	0.1611347	0.6522261	0.2688333	0.5115465	-2128004.809
36000	1.0276183	0.9533770	0.8862186	0.8445849	0.6479665	0.5191551	0.0286390	0.0116306	0.0747269	0.5136903	0.4431912	0.3905993	-2128009.576
38000	1.0664538	0.9353216	0.8791080	0.8478643	0.7045336	0.5974273	0.0208132	0.0108780	0.0970859	0.5681249	0.7627161	0.6834485	-2128009.060
40000	1.0932531	0.9846992	0.9302966	0.8326109	0.7190700	0.6294121	0.0225039	0.0082890	0.0897605	0.3953817	0.3783832	0.3819357	-2128004.741
42000	1.0725703	0.9911146	0.9512274	0.8531349	0.7195295	0.6742657	0.0228544	0.0098089	0.1236438	0.6100758	0.5308514	0.4823662	-2128006.537
44000	1.0543788	0.9607958	0.9195816	0.8426409	0.7156610	0.7338073	0.0244590	0.0120595	0.0987505	0.3284134	0.3879218	0.4966885	-2128000.644
46000	1.0063600	1.0000898	0.9295283	0.8686869	0.6792054	0.7815943	0.0147727	0.0190613	0.1172343	0.6104028	0.8178709	0.6523217	-2128005.950
48000	1.0374832	0.9960677	0.9445361	0.8797481	0.6130317	0.8120619	0.0267317	0.0153728	0.0813427	0.6872476	0.5338058	0.3030612	-2128010.921
50000	1.0941041	0.9497262	0.8862957	0.8089880	0.5904576	0.6930914	0.0139787	0.0120203	0.1175221	0.4520168	0.4673803	0.3885591	-2128008.376
52000	1.1026361	0.9819384	0.9482791	0.7754585	0.5923745	0.6653327	0.0318281	0.0103535	0.1006542	0.4510405	0.3512418	0.2853766	-2128002.197
54000	1.1035811	0.9606951	0.9162079	0.8648617	0.5773187	0.7194517	0.0210958	0.0134995	0.0709162	0.2256935	0.5888977	0.3691932	-2128005.329
56000	1.0960871	1.0198745	0.9735243	0.8859406	0.5135705	0.6940848	0.0195791	0.0136704	0.1152025	0.6103236	0.3252537	0.7530509	-2128005.325
58000	1.0635299	0.9917395	0.9593700	0.9108461	0.5700243	0.6440903	0.0209696	0.0175826	0.1235598	0.5569163	0.5714402	0.7905579	-2128007.160
60000	1.0607202	0.9607500	0.9385642	0.8648969	0.6326316	0.6312151	0.0194267	0.0107952	0.1220521	0.3681802	0.6025588	0.5347142	-2128008.472
62000	1.0876855	1.0129604	0.9387130	0.8645501	0.6762250	0.6675428	0.0127562	0.0082855	0.0768610	0.4201275	0.3995503	0.4423734	-2128010.677
64000	1.0570920	1.0481502	0.9863572	0.9427462	0.6431377	0.6726642	0.0158192	0.0096088	0.0683648	0.4890596	0.3427160	0.5918674	-2128003.220
66000	1.0791572	1.0453839	1.0051478	0.9363913	0.6219955	0.7127182	0.0158257	0.0109681	0.0597587	0.4333352	0.3008386	0.2879271	-2128008.714
68000	1.0838244	1.0116253	0.9876138	0.9578153	0.7356375	0.6941359	0.0165902	0.0093176	0.1058614	0.3587577	0.3669556	0.7873549	-2128009.111
70000	1.0953459	1.0808005	1.0157483	0.9760039	0.6811785	0.6766847	0.0184731	0.0076292	0.1066233	0.4573503	0.4782627	1.1219992	-2128016.431
72000	1.0759202	1.0599837	0.9780305	0.9336643	0.7741920	0.6752699	0.0223663	0.0086747	0.0963453	0.7175981	0.4885281	0.4607218	-2128007.047
74000	1.0900268	0.9959786	0.9600045	0.9244083	0.7811249	0.8030026	0.0215289	0.0108150	0.1316714	0.6722134	0.3082652	0.6944804	-2128007.112
76000	1.0698034	1.0368828	0.9726486	0.9233266	0.6845592	0.5895587	0.0234726	0.0112585	0.1004750	0.6773935	0.6624288	0.9539188	-2128002.338
78000	1.0473876	1.0222042	0.9606884	0.8827641	0.5961908	0.6050392	0.0176824	0.0103437	0.0810835	0.1935972	0.3839217	0.4337964	-2128011.261
80000	1.1024877	0.9927119	0.9641530	0.8881531	0.7356308	0.6233449	0.0213017	0.0099253	0.0741995	0.3879322	0.5055750	0.4453668	-2127999.803
82000	1.0864116	1.0059481	0.9553116	0.9137215	0.6211514	0.5966145	0.0170624	0.0087222	0.0937634	0.4421326	0.2225544	0.2188432	-2128003.346
84000	1.0569885	1.0316068	0.9896385	0.9286805	0.5497825	0.6913375	0.0129556	0.0164728	0.0965111	0.6969090	0.5039264	0.3674288	-2128007.769
